Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,B1,C1,C2,C3,D1,D2,D3
input,288.0,576.0,864.0,288.0,576.0,288.0,384.0,480.0,432.0,576.0,576.0,576.0,288.0,576.0,864.0
p1,6.0,210.0,255.0,144.0,234.0,159.0,342.0,240.0,219.0,462.0,294.0,327.0,303.0,381.0,342.0
p1,162.0,366.0,714.0,351.0,324.0,300.0,480.0,387.0,405.0,468.0,546.0,444.0,312.0,438.0,594.0
p2,96.0,429.0,633.0,240.0,501.0,276.0,231.0,354.0,495.0,210.0,378.0,396.0,459.0,348.0,432.0
p2,156.0,279.0,432.0,402.0,480.0,660.0,414.0,453.0,300.0,357.0,387.0,273.0,255.0,477.0,897.0
p3,132.0,111.0,108.0,162.0,147.0,162.0,192.0,186.0,231.0,285.0,171.0,192.0,258.0,255.0,273.0
p3,222.0,240.0,288.0,123.0,180.0,213.0,261.0,246.0,186.0,210.0,207.0,183.0,240.0,180.0,339.0
p4,162.0,150.0,210.0,111.0,225.0,219.0,102.0,171.0,141.0,237.0,126.0,126.0,144.0,258.0,252.0
p4,120.0,189.0,198.0,108.0,225.0,123.0,231.0,132.0,168.0,216.0,183.0,258.0,114.0,234.0,303.0
p5,132.0,177.0,258.0,189.0,66.0,135.0,141.0,123.0,114.0,141.0,132.0,162.0,114.0,129.0,129.0
p5,144.0,156.0,66.0,54.0,105.0,126.0,144.0,54.0,117.0,108.0,69.0,63.0,120.0,15.0,228.0
p6,96.0,216.0,288.0,255.0,315.0,300.0,285.0,282.0,294.0,336.0,348.0,279.0,240.0,339.0,354.0
p6,294.0,339.0,372.0,264.0,363.0,336.0,396.0,456.0,297.0,471.0,297.0,315.0,348.0,249.0,348.0
p7,339.0,354.0,528.0,219.0,294.0,183.0,180.0,447.0,378.0,435.0,324.0,438.0,297.0,357.0,546.0
p7,288.0,243.0,324.0,219.0,420.0,318.0,363.0,285.0,198.0,537.0,657.0,519.0,309.0,315.0,675.0
p8,222.0,186.0,240.0,270.0,171.0,168.0,144.0,294.0,174.0,249.0,201.0,273.0,207.0,324.0,279.0
p8,195.0,258.0,264.0,192.0,276.0,216.0,180.0,210.0,162.0,243.0,327.0,258.0,240.0,243.0,465.0
p9,165.0,285.0,588.0,225.0,150.0,282.0,417.0,195.0,261.0,249.0,159.0,324.0,729.0,300.0,288.0
p9,270.0,273.0,696.0,240.0,288.0,249.0,384.0,120.0,216.0,411.0,408.0,495.0,351.0,291.0,1005.0
p10,144.0,183.0,270.0,144.0,159.0,234.0,60.0,321.0,336.0,390.0,399.0,252.0,147.0,447.0,720.0
p10,108.0,225.0,384.0,96.0,456.0,252.0,528.0,360.0,162.0,537.0,324.0,339.0,171.0,330.0,474.0
