Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,B1,C1,C2,C3,D1,D2,D3
input,15.5,24.5,33.5,24.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
p1,9.5,18.5,27.5,12.5,24.5,15.5,30.5,18.5,18.5,27.5,15.5,18.5,24.5,30.5,21.5
p1,12.5,18.5,30.5,15.5,24.5,18.5,21.5,15.5,24.5,21.5,21.5,21.5,15.5,24.5,27.5
p2,21.5,30.5,33.5,18.5,33.5,21.5,18.5,30.5,27.5,24.5,33.5,21.5,33.5,27.5,33.5
p2,45.5,27.5,33.5,30.5,27.5,39.5,33.5,30.5,27.5,30.5,27.5,21.5,27.5,30.5,45.5
p3,18.5,21.5,27.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,30.5,27.5,30.5,27.5,30.5
p3,27.5,30.5,33.5,30.5,27.5,30.5,30.5,30.5,27.5,27.5,30.5,30.5,27.5,27.5,30.5
p4,27.5,24.5,24.5,27.5,27.5,27.5,21.5,21.5,24.5,27.5,24.5,30.5,24.5,27.5,27.5
p4,27.5,33.5,30.5,21.5,30.5,27.5,33.5,24.5,36.5,33.5,24.5,30.5,24.5,30.5,30.5
p5,27.5,30.5,42.5,18.5,18.5,33.5,33.5,18.5,30.5,18.5,18.5,33.5,18.5,36.5,18.5
p5,33.5,45.5,21.5,15.5,21.5,21.5,18.5,18.5,18.5,18.5,21.5,9.5,18.5,24.5,30.5
p6,30.5,36.5,30.5,45.5,30.5,45.5,36.5,36.5,33.5,36.5,24.5,36.5,36.5,33.5,30.5
p6,27.5,36.5,36.5,39.5,36.5,42.5,42.5,39.5,33.5,33.5,42.5,42.5,42.5,48.5,39.5
p7,42.5,30.5,24.5,36.5,33.5,27.5,30.5,42.5,36.5,33.5,27.5,36.5,33.5,30.5,24.5
p7,30.5,24.5,18.5,30.5,24.5,36.5,27.5,30.5,27.5,36.5,39.5,30.5,36.5,24.5,36.5
p8,15.5,21.5,30.5,36.5,27.5,27.5,18.5,27.5,30.5,33.5,33.5,33.5,30.5,27.5,33.5
p8,33.5,27.5,36.5,33.5,21.5,33.5,30.5,30.5,24.5,27.5,21.5,27.5,39.5,30.5,30.5
p9,30.5,36.5,33.5,36.5,33.5,36.5,39.5,24.5,33.5,36.5,27.5,30.5,45.5,27.5,36.5
p9,21.5,36.5,42.5,27.5,30.5,36.5,45.5,33.5,33.5,30.5,33.5,27.5,51.5,30.5,42.5
p10,24.5,27.5,33.5,42.5,45.5,27.5,21.5,27.5,24.5,30.5,33.5,24.5,42.5,27.5,33.5
p10,18.5,21.5,33.5,30.5,27.5,33.5,27.5,36.5,24.5,30.5,24.5,36.5,36.5,27.5,24.5
