Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,B1,C1,C2,C3,D1,D2,D3
input,36792.0,153936.0,398088.0,117144.0,361296.0,244152.0,295008.0,333480.0,199044.0,217440.0,257616.0,321120.0,244152.0,361296.0,398088.0
p1,388.5,48382.5,101984.25,13428.000000000002,72490.5,12563.249999999998,94495.5,38427.0,49307.25,166705.5,36109.5,75578.25,89441.25,195300.75,92056.5
p1,19039.5,70219.5,337777.5,41681.25,98541.0,53409.0,116220.0,49439.25,126690.74999999999,114381.0,124390.5,99470.99999999999,30615.0,93412.5,194026.5
p2,23532.0,197094.75,286578.75,40038.0,220179.75,60855.0,37655.25,96649.5,159473.25,75409.5,229684.5,81287.99999999997,256430.25,108114.0,270459.0
p2,125229.0,96122.25,230283.0,191269.5,172704.0,441291.0,201820.5,173412.75,99840.0,138090.75,148979.25,69687.74999999999,88889.25,196854.75,720066.75
p3,17997.0,19193.25,29601.0,50440.5,28409.25,46858.5,45705.0,52534.499999999985,57626.25,101226.75,46406.25,55200.0,105526.5,57920.25,120681.75
p3,83656.5,76137.0,123480.0,42092.25,58472.99999999999,56784.75,78405.75,84562.5,83359.5,55321.5,64064.25,91859.25,65580.0,40815.0,148130.25
p4,68341.5,32815.5,68515.5,30191.25,86406.75,69332.25,26773.5,37280.25,40611.75,102024.75,43978.5,53896.5,28215.0,99568.5,73494.0
p4,34662.0,110283.75,75316.5,17532.0,113658.75,33461.25,94841.25,33198.0,71205.0,96003.0,59540.25,101629.5,24850.5,106123.5,121679.25
p5,31497.0,65478.75,139078.5,31785.75,13363.5,83297.25,52752.75,22589.25,62623.500000000015,27975.749999999996,23100.0,64669.5,18730.5,62865.75,26415.75
p5,83358.0,125229.0,15541.5,6898.5,33384.75,23314.5,19656.0,8014.5,18492.75,12591.0,11973.75,4079.25,13890.0,6335.250000000001,41133.0
p6,37464.0,144252.0,95211.0,221513.25,119405.25,320961.0,177717.75,204298.5,109900.5,221007.0,107619.0,160148.25,128940.0,148886.25,170359.5
p6,69310.5,214748.25,129009.0,163614.0,217427.25,302232.0,349182.0,334806.0,139245.75,158531.25,288159.75,327188.25,175065.0,313734.75,275694.0
p7,248291.25,135781.5,140712.0,142808.25,129925.5,56777.25,68319.0,380564.25,231556.5,203900.25,99117.0,233902.5,170691.75,174774.75,150121.5
p7,105822.0,67448.25,56151.0,102947.25,113379.0,184543.5,90887.25,106383.75,72310.5,357384.75,474027.75,188747.25,155889.75,83360.25,383816.25
p8,28774.5,47665.5,93660.0,145057.5,73109.25,61512.0,25407.0,77446.5,44566.5,145731.75,133299.75,189126.75,70319.25,155511.0,119315.25
p8,128699.25,126469.50000000001,215202.0,113853.0,58371.0,84213.0,101241.0,84679.5,61114.5,112340.25,69881.25,118963.5,214836.0,136865.25,244002.75
p9,64809.75,229305.75,249375.0,137229.75,83017.5,157390.5,315342.75,47780.25,75237.75,121557.75,69623.25,96615.0,816918.75,133887.0,226917.0
p9,53176.5,194886.75,647112.0,80970.0,116433.0,181866.75,358422.0,60960.0,99522.0,207044.25,288822.0,157457.25,323237.25,148595.25,539760.75
p10,43506.0,80843.25,165172.5,101988.0,127754.25,88798.5,12885.0,128766.75,101154.0,183922.5,221207.25,102987.0,107033.25,181205.25,362385.0
p10,22671.0,70017.75,199509.0,37464.0,205998.0,89388.0,214620.0,310716.0,61501.500000000015,255018.75,97461.0,205829.25,122762.25,129601.5,143191.49999999997
