Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,B1,C1,C2,C3,D1,D2,D3
input,24576.0,49152.0,73728.0,24576.0,49152.0,24576.0,32768.0,40960.0,9216.0,30720.0,30720.0,30720.0,24576.0,49152.0,73728.0
p1,2.0,16397.5,5128.75,6912.0,4198.5,22813.250000000004,17577.0,23414.0,16431.25,22628.5,26925.5,62547.25,9160.25,15696.25,26466.0
p1,31266.0,40281.5,87562.0,49698.75,45732.0,34216.0,62837.5,59630.249999999985,36641.25,48963.0,81342.5,69317.5,62507.0,66974.0,67011.0
p2,416.0,17278.25,29733.25,8120.0,14798.75,8192.0,7231.25,11491.0,23127.75,5506.0,14026.5,23500.499999999996,20721.75,11988.500000000002,21288.0
p2,208.0,4253.25,12745.5,14048.0,26536.000000000004,32840.5,12942.0,13546.750000000002,5201.5,8849.750000000002,18206.25,10818.25,3762.25,16325.25,39542.75
p3,1878.5,714.2500000000001,336.0,1476.0,1479.2500000000002,1177.5,2264.5,2010.5000000000002,3335.75,4987.25,1565.25,2234.5,2718.5,5482.75,3508.75
p3,2570.0,2877.5,5280.0,311.75,1564.5,2671.25,5294.25,2494.0,3110.0000000000005,2387.5,2295.75,1510.75,4472.0,2064.0,7261.25
p4,1614.0,1197.5,3790.0,351.25,3071.25,2014.75,646.0,1985.25,880.25,4831.75,1182.0,318.0,1362.0,4884.5,3696.0
p4,448.0,1344.75,1146.0,930.0000000000001,3434.25,662.75,2341.25,812.0,755.0,2539.5,2541.25,2546.0,515.0,2425.5,4114.25
p5,1016.0,1739.75,2109.5,4704.75,403.0,761.25,544.25,1510.25,797.0,2329.25,2124.5,2190.0,864.5000000000001,325.75,2215.75
p5,612.0,208.0,274.0,162.0,1930.25,1075.5,3258.0,126.0,1500.75,2515.5,233.75,2315.25,2200.0,7.25,8776.0
p6,128.0,1368.0,4129.5,1042.75,5249.25,2704.0,2588.75,4141.0,4274.0,5057.5,14324.0,2226.75,1280.0,6364.25,9970.0
p6,8162.000000000001,5711.75,10972.0,1408.0,5925.25,3808.0,6289.5,9429.500000000002,3668.25,20406.25,3233.25,5628.75,5252.000000000001,1481.75,5631.5
p7,2609.75,6682.0,38625.5,1374.2500000000002,4236.5,1654.7500000000002,1200.0,8609.75,7180.5,9565.75,8157.0,11337.5,4343.25,10658.75,45158.0
p7,3730.5,3989.25,20115.0,2070.25,19184.0,3508.0,12699.25,3521.75,1782.0,20117.75,30921.75,33028.25,3199.75,8813.25,32775.75
p8,11306.0,3422.0000000000005,2000.0000000000002,1822.5000000000002,2025.75,1848.5,1783.5,6866.0,2578.0,2945.75,2613.2499999999995,8461.75,5799.75,19980.0,9221.25
p8,2525.75,13910.0,6232.0,1427.5,7832.000000000001,2032.5,3012.0000000000005,3286.0,3493.5,7403.25,13159.75,9782.0,3200.0,11766.75,29612.75
p9,675.25,8041.25,27461.5,1376.25,507.5,5197.0,8431.75,2258.75,10853.25,1612.25,1589.75,7618.5,54527.25,11104.0,6586.5
p9,8586.0,3607.75,38309.5,2660.0,4968.0,2815.25,3695.0,220.0,1152.0,19076.75,26656.0,24002.25,2075.25,6862.750000000001,96931.25
p10,912.0,2617.75,4170.0,192.0,223.25,3567.0,80.0,9835.25,12664.0,12692.5,10428.25,19716.0,207.25,28780.25,51585.0
p10,1404.0,15687.75,9012.5,128.0,43232.0,9015.0,47528.0,21804.0,3522.0000000000005,34912.25,11340.0,4381.25,1146.75,10694.0,37022.0
