Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,B1,C1,C2,C3,D1,D2,D3
input,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,16.0,32.0,32.0,32.0,32.0,32.0,32.0
p1,2.0,32.0,16.0,24.0,17.0,45.0,31.0,37.0,32.0,26.0,35.0,50.0,20.0,24.0,34.0
p1,50.0,38.0,40.0,46.0,46.0,46.0,43.0,43.0,42.0,40.0,50.0,50.0,50.0,46.0,44.0
p2,8.0,24.0,26.0,22.0,22.0,22.0,21.0,24.0,26.0,20.0,27.0,29.0,28.0,26.0,28.0
p2,4.0,15.0,22.0,22.0,28.0,32.0,22.0,20.0,16.0,18.0,28.0,24.0,15.0,22.0,23.0
p3,15.0,10.0,8.0,13.0,13.0,11.0,14.0,13.0,16.0,18.0,14.0,16.0,13.0,20.0,16.0
p3,14.0,18.0,18.0,7.0,12.0,14.0,20.0,12.0,18.0,15.0,14.0,12.0,18.0,16.0,18.0
p4,14.0,11.0,16.0,8.0,14.0,12.0,11.0,14.0,10.0,18.0,14.0,6.0,13.0,17.0,19.0
p4,8.0,12.0,10.0,13.0,17.0,11.0,13.0,11.0,11.0,17.0,16.0,12.0,9.0,12.0,14.0
p5,14.0,15.0,14.0,22.0,11.0,11.0,10.0,16.0,11.0,16.0,16.0,18.0,10.0,8.0,15.0
p5,10.0,4.0,8.0,6.0,17.0,12.0,21.0,6.0,16.0,21.0,8.0,21.0,18.0,3.0,30.0
p6,4.0,10.0,15.0,8.0,16.0,12.0,12.0,15.0,18.0,16.0,24.0,11.0,8.0,18.0,22.0
p6,20.0,18.0,22.0,8.0,16.0,14.0,16.0,18.0,16.0,27.0,14.0,18.0,18.0,11.0,18.0
p7,11.0,18.0,32.0,10.0,16.0,13.0,12.0,18.0,18.0,18.0,21.0,22.0,16.0,22.0,34.0
p7,15.0,17.0,29.0,12.0,25.0,14.0,25.0,15.0,12.0,26.0,30.0,33.0,15.0,20.0,30.0
p8,26.0,18.0,10.0,9.0,15.0,14.0,14.0,20.0,18.0,14.0,15.0,23.0,23.0,32.0,23.0
p8,18.0,32.0,22.0,12.0,20.0,14.0,18.0,18.0,19.0,22.0,24.0,26.0,16.0,30.0,30.0
p9,8.0,22.0,29.0,10.0,8.0,21.0,18.0,14.0,32.0,12.0,15.0,22.0,36.0,26.0,21.0
p9,26.0,16.0,31.0,12.0,21.0,14.0,13.0,6.0,8.0,32.0,32.0,26.0,12.0,20.0,46.0
p10,10.0,16.0,16.0,4.0,5.0,16.0,4.0,21.0,22.0,21.0,20.0,34.0,5.0,33.0,32.0
p10,14.0,32.0,19.0,4.0,36.0,27.0,34.0,32.0,20.0,29.0,22.0,16.0,14.0,22.0,34.0
