Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,B1,C1,C2,C3,D1,D2,D3
input,11.0,15.5,20.0,20.0,24.5,29.0,27.5,26.0,20.0,17.75,20.0,22.25,29.0,24.5,20.0
p1,8.0,14.9857142857,19.4,9.5,16.9615384615,8.67924528302,15.7105263158,12.4625,14.7808219178,18.1883116883,10.7857142857,15.0183486239,16.5544554455,22.0078740157,16.0
p1,10.7777777778,13.5327868852,21.0840336134,10.6153846154,16.3888888889,13.1,15.1625,11.0,17.2666666667,15.1538461538,14.6098901099,14.6486486486,9.70192307692,14.2465753425,17.4393939394
p2,15.125,20.6503496503,19.8578199052,12.425,19.497005988,14.2608695652,12.2857142857,15.3728813559,16.9090909091,18.4571428571,23.880952381,13.6590909091,22.862745098,16.8189655172,24.3125
p2,26.0,17.5806451613,21.5625,21.0298507463,18.2,24.5818181818,21.1739130435,18.2715231788,17.21,18.7647058824,19.0,15.5494505495,17.8117647059,19.1509433962,26.0
p3,11.2727272727,12.5405405405,15.3333333333,16.9444444444,13.0816326531,16.1666666667,14.515625,16.0806451613,14.8181818182,17.8210526316,15.0526315789,16.15625,18.8488372093,14.1058823529,19.7692307692
p3,18.4594594595,16.3625,19.875,17.2195121951,17.3,15.1408450704,16.4827586207,17.4390243902,20.3870967742,15.1142857143,16.652173913,21.4754098361,15.8,14.0,19.8938053097
p4,19.7777777778,14.06,17.5142857143,15.2972972973,18.88,16.7123287671,15.6764705882,14.1052631579,16.0425531915,20.1139240506,18.0,19.5714285714,13.1875,18.988372093,15.8928571429
p4,16.1,23.0476190476,18.1818181818,12.0833333333,21.68,15.5365853659,18.8311688312,15.1590909091,18.6607142857,18.9583333333,17.4918032787,18.6046511628,13.9210526316,20.3846153846,18.8712871287
p5,14.1363636364,18.1694915254,21.4302325581,12.5714285714,14.0,24.2666666667,17.5106382979,13.1951219512,23.1578947368,13.7446808511,12.7045454545,17.7777777778,12.3421052632,19.9302325581,14.0697674419
p5,22.625,26.0,15.0909090909,11.0,17.4285714286,13.0,11.125,11.6666666667,12.2307692308,10.3333333333,12.6956521739,8.0,10.4,20.0,12.3421052632
p6,18.5,24.5833333333,16.96875,27.5529411765,18.0285714286,31.04,23.6,25.8404255319,17.6734693878,24.5267857143,16.9482758621,22.5483870968,21.5,19.0973451327,21.0169491525
p6,14.4285714286,24.1415929204,16.8548387097,23.0,22.6033057851,28.25,28.3863636364,25.5657894737,20.4545454545,16.8280254777,29.6666666667,31.0285714286,19.8965517241,33.6626506024,26.3362068966
p7,25.1238938053,18.3728813559,15.5340909091,24.2739726027,20.0306122449,16.8524590164,18.6,27.8724832215,23.6904761905,20.2068965517,16.6666666667,21.9726027397,22.8787878788,21.3865546218,15.8461538462
p7,18.0,15.9259259259,12.7222222222,20.7808219178,15.5857142857,22.6320754717,14.8181818182,18.1052631579,18.2727272727,24.625698324,25.6301369863,18.3005780347,20.9902912621,15.5428571429,22.5066666667
p8,11.0810810811,15.4516129032,18.5,21.5,19.9473684211,18.5,12.8125,15.2857142857,14.4137931034,23.0,24.7910447761,25.4065934066,17.652173913,21.3888888889,20.0
p8,24.4769230769,21.5348837209,27.3636363636,23.234375,13.8695652174,18.375,22.7,19.4,18.8333333333,20.8888888889,13.9449541284,20.9069767442,28.4,22.9259259259,22.2838709677
p9,18.5818181818,27.4526315789,19.387755102,23.48,22.22,22.4574468085,26.345323741,14.9230769231,15.724137931,20.4698795181,20.1132075472,16.1111111111,32.4444444444,20.54,26.90625
p9,13.4,25.5384615385,28.9482758621,17.375,19.21875,25.8554216867,28.671875,21.05,20.0,21.3138686131,25.9117647059,16.8727272727,27.2307692308,21.8865979381,21.1910447761
p10,16.625,20.2950819672,23.8,24.5,26.0566037736,18.8076923077,14.0,19.3831775701,16.7321428571,20.9230769231,22.6165413534,19.7857142857,24.8367346939,19.5570469799,21.3125
p10,14.1666666667,17.32,21.8046875,18.5,20.7894736842,17.8928571429,19.5909090909,28.45,18.8888888889,21.0391061453,16.7222222222,23.3185840708,25.1578947368,19.1818181818,16.8101265823
