Start,,,,,,,
0.025,,,,,,,
0.03,0.03,0.32,0.32,,,,
0.02,0.03,0.165,0.165,0.165,0.165,0.165,
0.24,0.24,,,,,,
0.065,0.09,0.14,0.155,0.17,0.16,,
0.45,0.04,0.04,,,,,
0.065,0.31,0.285,0.255,0.05,0.06,0.06,0.06
0.04,0.37,0.35,0.04,,,,
0.045,0.05,0.315,0.32,,,,
0.055,0.235,0.235,0.235,0.255,0.25,0.25,
0.35,0.35,0.275,,,,,
0.04,0.05,0.5,0.5,,,,
0.04,0.195,0.195,0.19,0.19,0.19,,
0.03,0.035,0.045,0.225,0.24,0.24,0.23,0.23
0.075,0.08,0.32,0.32,0.335,,,
0.04,0.5,,,,,,
0.09,0.375,0.375,0.37,,,,
0.025,0.04,0.375,0.395,0.395,0.395,0.395,0.345
0.43,0.455,0.275,,,,,
0.055,0.455,0.04,0.04,0.035,0.445,,
0.06,0.33,0.455,0.15,,,,
0.02,0.42,0.43,0.375,0.35,,,
0.43,0.43,0.43,,,,,
0.055,0.05,0.295,0.415,0.345,0.175,,
0.13,0.27,0.395,0.39,0.37,,,
0.125,0.5,0.46,0.37,0.37,,,
0.05,0.32,0.49,0.495,0.12,,,
0.5,0.5,0.03,0.01,,,,
0.045,0.445,0.455,0.445,0.04,0.045,,
0.11,0.17,0.435,0.42,0.375,0.355,0.105,
