Start,,,,,,,,,,,,
0.145,0.1,0.04,0.04,0.04,0.04,0.04,,,,,,
0.095,0.05,0.005,0.11,0.15,0.095,0.04,0.04,,,,,
0.04,0.09,0.125,0.125,0.14,0.095,0.05,0.04,0.04,0.04,0.04,0.04,
0.11,0.22,0.155,0.145,,,,,,,,,
0.005,0.055,0.11,0.045,0.01,0.005,0.005,0.005,0.005,,,,
0.005,0.005,0.04,0.04,0.04,0.09,0.09,0.11,0.04,,,,
0.095,0.09,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,
0.055,0.09,0.155,0.1,,,,,,,,,
0.005,0.005,0.005,0.04,0.09,0.1,0.11,0.04,,,,,
0.05,0.095,0.155,0.155,,,,,,,,,
0.095,0.15,0.03,0.165,,,,,,,,,
0.18,0.09,0.005,0.005,0.005,0.07,0.12,0.04,0.04,,,,
0.1,0.105,0.09,0.09,,,,,,,,,
0.085,0.07,0.04,0.005,0.045,0.04,0.045,0.04,0.04,0.04,,,
0.005,0.14,0.14,0.15,0.005,0.005,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.095,0.095,0.005,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
0.005,0.045,0.08,0.085,0.025,0.005,0.005,,,,,,
0.055,0.065,0.06,0.005,0.005,,,,,,,,
0.04,0.005,0.005,0.14,0.17,,,,,,,,
0.115,0.06,0.11,0.1,0.03,0.005,,,,,,,
0.21,0.14,0.03,0.095,,,,,,,,,
0.065,0.06,0.025,0.035,,,,,,,,,
0.08,0.11,0.165,0.035,,,,,,,,,
0.21,0.045,0.09,0.015,,,,,,,,,
0.045,0.08,0.07,0.015,0.025,0.005,0.005,,,,,,
0.21,0.005,,,,,,,,,,,
0.185,0.14,0.06,0.025,0.005,,,,,,,,
0.005,0.01,0.005,0.005,0.01,0.03,0.005,0.005,,,,,
0.295,0.185,0.115,0.085,0.02,0.02,0.02,0.02,,,,,
