Start,,,,,,,,,,,,,,
0.065,0.075,0.055,0.075,0.065,0.07,0.07,0.07,,,,,,,
0.04,0.04,0.02,0.02,0.02,0.02,0.215,0.2,0.21,0.16,,,,,
0.165,0.22,0.25,0.275,0.29,0.26,0.205,0.175,0.125,,,,,,
0.04,0.04,0.04,0.075,0.09,0.1,0.105,0.1,0.09,0.07,,,,,
0.04,0.04,0.04,0.04,0.04,0.07,0.07,0.08,0.085,,,,,,
0.04,0.04,0.04,0.18,0.15,0.21,0.04,0.04,0.1,0.1,,,,,
0.04,0.04,0.04,0.125,0.15,0.16,0.18,0.175,0.18,0.16,0.145,,,,
0.11,0.105,0.135,0.145,0.105,0.065,,,,,,,,,
0.04,0.32,0.21,0.1,0.04,0.04,0.04,0.04,0.04,,,,,,
0.085,0.09,0.1,0.12,0.075,0.075,0.075,0.06,0.075,0.055,,,,,
0.04,0.04,0.04,0.04,0.095,0.125,0.15,,,,,,,,
0.15,0.215,0.215,0.145,0.11,0.095,0.085,0.06,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.055,0.335,0.365,0.34,0.325,0.26,0.26,0.29,,
0.04,0.04,0.075,0.12,0.215,0.26,0.24,,,,,,,,
0.04,0.04,0.04,0.055,0.06,0.05,0.055,0.19,0.21,0.21,,,,,
0.185,0.265,0.155,0.16,0.145,,,,,,,,,,
0.045,0.065,0.04,0.04,0.04,0.095,0.15,0.155,0.14,0.135,,,,,
0.04,0.135,0.155,0.165,0.04,0.09,0.195,0.27,0.31,0.31,0.31,0.29,,,
0.105,0.105,0.115,0.115,0.115,0.115,0.115,,,,,,,,
0.04,0.1,0.115,0.21,0.145,0.135,0.11,0.095,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.085,0.13,0.135,0.135,0.135,,,,,
0.03,0.08,0.075,0.08,0.08,0.11,0.11,0.11,0.11,0.125,0.125,0.115,0.13,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.055,,,,,,
0.075,0.08,0.085,0.08,0.075,0.075,0.075,0.075,0.075,,,,,,
0.11,0.13,0.115,0.085,0.085,0.27,0.265,0.32,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.195,0.315,0.315,0.315,,,,,,
0.205,0.255,0.25,0.255,0.235,0.255,0.185,,,,,,,,
0.09,0.12,0.12,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0.04,0.04,0.04,0.11,0.18,0.2,0.2,0.16,,,,,,,
0.285,0.39,0.455,0.36,0.41,0.35,0.31,0.19,0.12,0.16,0.16,0.16,,,
