Start,,,,,,,,,,,,,
0.06,0.065,0.065,0.095,0.105,0.095,,,,,,,,
0.04,0.04,0.04,0.04,0.15,0.145,0.155,,,,,,,
0.04,0.04,0.04,0.04,0.135,0.14,0.14,0.16,0.165,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.035,0.035,0.035,0.035,
0.04,0.04,0.13,0.15,0.16,0.135,0.12,,,,,,,
0.04,0.04,0.04,0.04,0.04,,,,,,,,,
0.04,0.04,0.19,0.175,0.21,0.2,0.21,,,,,,,
0.04,0.215,0.195,0.225,0.225,0.225,,,,,,,,
0.04,0.04,0.19,0.195,0.205,0.21,0.21,0.21,,,,,,
0.04,0.04,0.14,0.165,0.18,0.2,0.205,0.195,0.17,,,,,
0.04,0.04,0.04,0.04,0.345,0.335,,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,,
0.04,0.04,0.26,0.26,0.33,0.275,0.285,,,,,,,
0.04,0.285,0.29,0.3,0.3,0.325,0.29,0.29,0.29,,,,,
0.04,0.04,0.145,0.135,,,,,,,,,,
0.04,0.04,0.04,0.31,0.325,,,,,,,,,
0.04,0.04,0.175,0.18,0.19,0.175,0.155,0.15,0.165,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,
0.04,0.04,0.04,0.32,0.355,0.365,0.365,,,,,,,
0.04,0.04,0.25,0.27,0.035,0.06,0.055,0.04,0.04,,,,,
0.04,0.04,0.325,0.34,0.34,0.34,0.34,,,,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.32,0.3,0.305,,,,
0.04,0.04,0.04,0.04,0.185,0.195,,,,,,,,
0.04,0.04,0.29,0.265,0.29,0.29,0.29,0.29,,,,,,
0.04,0.205,0.22,0.2,0.2,0.215,,,,,,,,
0.04,0.085,0.115,0.115,0.095,0.125,0.14,0.16,0.125,0.13,,,,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.14,,,,
0.04,0.04,0.205,0.215,0.205,0.2,0.2,,,,,,,
0.04,0.28,0.315,0.345,0.305,0.305,,,,,,,,
