Device-ID,A1,A2,A3,A4,A5,A6
input,288.0,288.0,288.0,576.0,576.0,864.0
p1,501.0,534.0,471.0,678.0,759.0,813.0
p1,468.0,1266.0,1167.0,927.0,1581.0,1650.0
p1,1074.0,1014.0,930.0,1182.0,1365.0,1500.0
p2,1095.0,1353.0,828.0,1530.0,1713.0,2250.0
p2,501.0,804.0,1758.0,1830.0,1917.0,1650.0
p2,1149.0,1650.0,1710.0,1191.0,1452.0,1359.0
p3,381.0,438.0,1038.0,663.0,729.0,1146.0
p3,876.0,759.0,798.0,771.0,819.0,1170.0
p3,477.0,450.0,717.0,525.0,996.0,1149.0
p4,132.0,252.0,711.0,636.0,1170.0,1797.0
p4,93.0,501.0,258.0,705.0,1455.0,1452.0
p4,300.0,423.0,1146.0,609.0,1422.0,1881.0
p5,1299.0,927.0,1869.0,1290.0,1737.0,1137.0
p5,1251.0,1059.0,1134.0,1503.0,915.0,1359.0
p5,1551.0,1020.0,795.0,1119.0,927.0,1437.0
p6,1632.0,1146.0,987.0,738.0,1137.0,1650.0
p6,537.0,627.0,1143.0,645.0,978.0,804.0
p6,945.0,765.0,1800.0,432.0,666.0,1533.0
p7,477.0,249.0,264.0,405.0,1032.0,687.0
p7,93.0,384.0,267.0,1755.0,1020.0,1119.0
p7,609.0,582.0,639.0,1200.0,390.0,1749.0
p8,735.0,783.0,1062.0,720.0,1812.0,1029.0
p8,987.0,831.0,1725.0,939.0,1065.0,747.0
p8,333.0,1089.0,906.0,1245.0,906.0,789.0
p9,345.0,609.0,1287.0,462.0,765.0,924.0
p9,276.0,282.0,534.0,828.0,795.0,852.0
p9,414.0,456.0,618.0,513.0,750.0,816.0
p10,216.0,378.0,282.0,273.0,270.0,348.0
p10,213.0,408.0,555.0,153.0,462.0,270.0
p10,216.0,225.0,357.0,270.0,249.0,381.0
