Device-ID,A1,A2,A3,A4,A5,A6
input,288.0,288.0,288.0,576.0,576.0,864.0
p1,126.0,144.0,285.0,435.0,582.0,771.0
p1,189.0,354.0,375.0,471.0,390.0,723.0
p1,192.0,408.0,366.0,726.0,561.0,834.0
p2,156.0,84.0,432.0,300.0,600.0,792.0
p2,270.0,171.0,216.0,189.0,249.0,165.0
p2,96.0,57.0,150.0,270.0,744.0,594.0
p3,282.0,402.0,645.0,408.0,360.0,660.0
p3,705.0,1155.0,1395.0,1647.0,996.0,1836.0
p3,531.0,1479.0,828.0,1605.0,1848.0,759.0
p4,123.0,120.0,192.0,303.0,585.0,888.0
p4,195.0,147.0,138.0,348.0,522.0,918.0
p4,84.0,255.0,396.0,699.0,807.0,1221.0
p5,276.0,621.0,363.0,279.0,1182.0,621.0
p5,912.0,597.0,1254.0,822.0,1434.0,696.0
p5,480.0,441.0,858.0,792.0,993.0,993.0
p6,414.0,582.0,1011.0,699.0,708.0,588.0
p6,441.0,276.0,519.0,489.0,267.0,390.0
p6,276.0,486.0,408.0,405.0,612.0,609.0
p7,189.0,183.0,465.0,198.0,228.0,183.0
p7,411.0,186.0,282.0,489.0,375.0,312.0
p7,147.0,276.0,399.0,519.0,297.0,804.0
p8,264.0,378.0,336.0,633.0,327.0,204.0
p8,312.0,501.0,519.0,600.0,447.0,297.0
p8,579.0,876.0,831.0,606.0,465.0,648.0
p9,138.0,171.0,282.0,309.0,336.0,498.0
p9,228.0,360.0,474.0,747.0,471.0,669.0
p9,402.0,453.0,696.0,417.0,837.0,822.0
p10,144.0,216.0,381.0,240.0,246.0,429.0
p10,198.0,378.0,330.0,255.0,399.0,525.0
p10,462.0,504.0,459.0,339.0,492.0,519.0
