Device-ID,A1,A2,A3,A4,A5,A6
input,15.5,24.5,33.5,24.5,33.5,33.5
p1,45.5,24.5,39.5,30.5,36.5,36.5
p1,39.5,54.5,54.5,51.5,54.5,39.5
p1,33.5,45.5,33.5,33.5,45.5,36.5
p2,39.5,42.5,33.5,48.5,48.5,51.5
p2,27.5,36.5,45.5,48.5,51.5,39.5
p2,36.5,39.5,45.5,42.5,39.5,39.5
p3,33.5,51.5,45.5,42.5,36.5,42.5
p3,30.5,39.5,48.5,36.5,54.5,48.5
p3,24.5,51.5,42.5,30.5,54.5,39.5
p4,27.5,33.5,42.5,36.5,42.5,48.5
p4,24.5,36.5,39.5,42.5,51.5,48.5
p4,33.5,39.5,48.5,33.5,48.5,48.5
p5,42.5,36.5,48.5,48.5,48.5,39.5
p5,39.5,42.5,39.5,45.5,39.5,42.5
p5,42.5,42.5,39.5,39.5,36.5,42.5
p6,48.5,42.5,48.5,42.5,42.5,39.5
p6,30.5,33.5,45.5,30.5,42.5,39.5
p6,45.5,36.5,42.5,33.5,42.5,45.5
p7,42.5,33.5,33.5,36.5,42.5,33.5
p7,6.5,36.5,39.5,48.5,39.5,39.5
p7,39.5,36.5,36.5,42.5,48.5,51.5
p8,45.5,45.5,36.5,27.5,51.5,33.5
p8,33.5,36.5,54.5,45.5,42.5,30.5
p8,24.5,42.5,48.5,36.5,33.5,42.5
p9,30.5,42.5,51.5,27.5,42.5,30.5
p9,33.5,33.5,51.5,27.5,48.5,33.5
p9,33.5,33.5,39.5,21.5,45.5,27.5
p10,30.5,33.5,36.5,21.5,33.5,27.5
p10,12.5,30.5,33.5,12.5,36.5,24.5
p10,15.5,18.5,30.5,27.5,18.5,30.5
