Device-ID,A1,A2,A3,A4,A5,A6
input,15.5,24.5,33.5,24.5,33.5,33.5
p1,15.5,15.5,24.5,21.5,27.5,30.5
p1,15.5,27.5,27.5,27.5,27.5,30.5
p1,15.5,36.5,30.5,33.5,33.5,30.5
p2,18.5,12.5,30.5,36.5,36.5,39.5
p2,21.5,36.5,42.5,27.5,36.5,27.5
p2,24.5,18.5,33.5,33.5,39.5,36.5
p3,21.5,33.5,36.5,18.5,45.5,30.5
p3,30.5,45.5,51.5,48.5,45.5,57.5
p3,24.5,45.5,42.5,42.5,63.5,30.5
p4,21.5,18.5,27.5,27.5,33.5,39.5
p4,27.5,33.5,21.5,27.5,39.5,39.5
p4,6.5,30.5,24.5,33.5,39.5,42.5
p5,24.5,36.5,39.5,33.5,45.5,33.5
p5,33.5,36.5,45.5,36.5,45.5,33.5
p5,33.5,42.5,39.5,39.5,42.5,39.5
p6,24.5,24.5,33.5,33.5,36.5,33.5
p6,30.5,33.5,36.5,33.5,33.5,30.5
p6,33.5,36.5,42.5,33.5,33.5,39.5
p7,21.5,21.5,30.5,27.5,33.5,36.5
p7,30.5,24.5,30.5,30.5,24.5,24.5
p7,36.5,39.5,45.5,45.5,45.5,42.5
p8,18.5,27.5,33.5,39.5,36.5,30.5
p8,21.5,33.5,45.5,24.5,36.5,15.5
p8,27.5,39.5,45.5,30.5,33.5,33.5
p9,15.5,39.5,42.5,24.5,42.5,24.5
p9,39.5,36.5,45.5,33.5,45.5,27.5
p9,48.5,51.5,54.5,27.5,48.5,27.5
p10,21.5,24.5,39.5,15.5,33.5,42.5
p10,21.5,33.5,33.5,15.5,33.5,33.5
p10,27.5,33.5,33.5,30.5,33.5,33.5
