Device-ID,A1,A2,A3,A4,A5,A6
input,36792.0,117144.0,244152.0,153936.0,361296.0,398088.0
p1,325407.75,206089.5,233870.25,192562.5,508532.25,299331.75
p1,346347.0,1170892.5,977624.25,489656.25,1670970.75,1022587.5
p1,422197.5,433054.5,451375.5,608740.5,1458651.75,805875.0
p2,643733.25,948789.75,379971.0,1320880.5,1537344.75,2271937.5
p2,161778.75,427521.0,1414843.5,1625047.5,1919283.75,1022587.5
p2,626187.75,1022587.5,1379380.5,829427.25,906942.0,820856.25
p3,174357.75,468226.5,1210768.5,406952.25,433365.75,740788.5
p3,362271.0,596993.25,817183.5,405998.25,930647.25,1038055.5
p3,127221.75,428998.5,674769.75,173160.75,1238019.0,709284.75
p4,51783.0,126360.0,530813.25,348477.0,845212.5,1591113.75
p4,24912.75,278463.75,161488.5,507672.75,1493207.25,1313013.0
p4,139476.0,185069.25,1029769.5,284466.75,1280290.5,1707981.75
p5,931829.25,472772.25,1659801.75,1079179.5,1578354.75,740466.75
p5,796367.25,758816.25,740425.5,1169363.25,579707.25,954821.25
p5,1062545.25,691113.0,580460.25,703202.25,465905.25,998130.75
p6,1315884.0,739357.5,846908.25,431536.5,737892.75,1022587.5
p6,183612.75,248129.25,1067132.25,234624.75,537634.5,412842.0
p6,555576.75,345327.75,1274850.0,181728.0,327451.5,1196847.75
p7,463767.75,189462.75,147234.0,235671.75,869118.0,316409.25
p7,84195.75,191778.0,249218.25,1767386.25,718185.0,716765.25
p7,395310.75,375976.5,411032.25,853383.0,346516.5,1819134.75
p8,577286.25,847730.25,593203.5,160308.0,1904583.0,580194.75
p8,564632.25,365378.25,2548731.75,934088.25,814212.75,287444.25
p8,74391.75,848130.75,900577.5,782523.75,292537.5,721740.75
p9,100476.75,347115.75,1690283.25,118114.5,812967.75,354705.0
p9,180420.0,145249.5,775969.5,272448.0,1007123.25,409254.0
p9,276565.5,305502.0,488647.5,141828.75,801385.5,263598.0
p10,74061.0,139531.5,230848.5,79254.75,189040.5,158460.0
p10,35832.75,185079.0,250424.24999999997,31263.75,371797.5,90346.5
p10,44640.0,56004.75,168807.75,84388.5,53418.75,103500.75
