Device-ID,A1,A2,A3,A4,A5,A6
input,36792.0,117144.0,244152.0,153936.0,361296.0,398088.0
p1,18931.5,23364.0,93666.75,93146.25,256798.5,410399.25
p1,33234.75,97207.5,164285.25,130973.25,202570.50000000003,291722.25
p1,35958.0,340590.0,244162.5,364456.5,393174.75,370036.5
p2,27147.0,7833.0,168588.0,161175.0,322350.0,490842.0
p2,57982.5,91775.25,152982.0,61566.75,137613.75,52695.75
p2,27744.0,9729.75,72451.5,124402.5,445407.0,309028.5
p3,59893.5,187831.5,305274.75,67854.0,448326.0,252165.0
p3,266004.75,1097654.25,1380431.25,1473374.25,1258647.0,2397969.0
p3,156422.25,1182353.25,622251.0,1245006.75,2892936.0,228083.25
p4,27647.25,20190.0,83109.0,97928.25,285801.75,547215.0
p4,70271.25,79277.25,28348.5,112650.0,391315.5,569065.5
p4,27363.0,102038.24999999997,105831.0,334799.25,492542.25,864678.75
p5,80007.0,354822.75,250817.25,143381.25,937051.5,282552.75
p5,413157.0,310383.75,919159.5,438883.5,1166029.5,342093.0
p5,220494.0,381543.75,501532.5,460566.0,643698.75,608544.75
p6,93838.5,154666.5,481442.25,378044.25,451545.0,344631.0
p6,145266.75,105018.0,353789.25,259974.75,126053.25,121552.5
p6,104010.0,190255.5,254316.0,220596.75,333531.0,468498.75
p7,50253.75,38057.25,234507.75,85351.5,107211.0,117257.25
p7,166103.25,67015.5,157930.5,218583.75,116441.25,103218.0
p7,101318.25,195612.0,464918.25,545426.25,348387.75,660279.0
p8,51870.0,123133.5,224922.0,235944.75,127337.25,113514.0
p8,92760.0,324795.75,557225.25,150954.0,399203.25,75264.75
p8,259349.25,657894.0,1116743.25,275992.5,262479.75,436167.0
p9,54538.5,133553.25,278449.5,145368.75,358221.0,154807.5
p9,200019.0,271521.0,630127.5,408512.25,584681.25,244431.75
p9,579457.5,751410.75,1177320.0,169020.75,952764.75,303100.5
p10,41886.0,93357.0,363303.75,55860.0,156769.5,368841.75
p10,61708.5,202378.5,236935.5,49208.25,212171.25,209205.75
p10,156094.5,212400.0,320132.25,148121.25,294342.0,232271.25
