Device-ID,A1,A2,A3,A4,A5,A6
input,24576.0,24576.0,24576.0,49152.0,49152.0,73728.0
p1,42148.25,82625.5,45330.25,125290.0,72258.25,126576.25
p1,63114.0,175725.5,149927.75,156824.25,255260.75,343750.0
p1,191530.0,134997.5,149989.0,230542.0,263797.25,312500.0
p2,102316.25,159567.25,65076.0,171468.0,238768.75,468750.0
p2,23992.25,48235.0,297979.0,291028.0,290598.75,343750.0
p2,140977.25,343750.0,274600.5,109335.25,234586.0,193032.75
p3,6331.75,4020.5,160064.5,21460.25,43955.25,104483.5
p3,100276.0,52138.75,27443.0,59813.75,20034.75,122296.5
p3,28140.75,3943.5,43189.25,25648.75,63911.0,116854.25
p4,608.0,1996.5,23837.25,24005.0,103921.5,275105.75
p4,234.25,11746.25,1478.0,22719.25,128444.75,145481.5
p4,3145.0,10517.25,71561.5,26057.75,136443.0,315218.25
p5,154641.25,81161.25,328517.75,128117.5,271790.25,121036.75
p5,163394.25,83393.75,121680.0,201224.25,62807.75,166592.25
p5,250566.25,76741.0,53527.75,119107.75,80796.75,199108.25
p6,218528.5,102439.0,47456.75,37119.0,99946.75,343750.0
p6,25490.75,33997.25,96878.25,40484.75,81344.0,50060.5
p6,63113.25,47972.25,375000.0,10164.0,31266.0,198561.25000000003
p7,15254.25,9674.75,2516.5,6863.25,87426.5,44586.25
p7,57.25,7142.0,4004.75,296930.25,100136.5,117649.75
p7,18905.75,25497.5,32084.25,113422.0,3886.0000000000005,230706.25
p8,35204.75,50307.75,115636.5,127560.0,325456.0,189799.75
p8,165494.75,128329.75,343937.75,73807.75,83218.75,61071.75
p8,12984.75,189734.25,68076.5,250281.25,157646.0,49244.75
p9,10320.25,19102.25,147963.75,27221.5,83153.25,114536.0
p9,8883.5,4574.5,15923.5,107496.0,52317.25,71852.0
p9,22168.5,48134.00000000001,32300.0,36494.25,43750.0,102872.0
p10,1777.5,10156.5,7480.0,6861.25,8101.5,15897.5
p10,10448.75,14024.5,19702.25,2318.25,27322.0,5706.0
p10,4980.000000000001,3719.25,10106.75,3786.0,5893.25,13689.25
