Device-ID,A1,A2,A3,A4,A5,A6
input,24576.0,24576.0,24576.0,49152.0,49152.0,73728.0
p1,3445.5,4032.0000000000005,29797.25,37900.75,82002.5,147401.75
p1,31389.75,51334.0,40229.75,42232.75,57106.0,66907.75
p1,31336.0,59080.0,52658.0,80094.5,81691.75,108614.0
p2,2236.0,1372.0,11664.000000000002,2500.0000000000005,20000.000000000004,38016.0
p2,7290.000000000001,479.25,648.0,1275.7500000000002,1456.25,853.75
p2,248.0,109.75,402.5,2250.0000000000005,32105.0,19735.5
p3,8374.000000000002,7526.0,28478.75,39508.0,10369.5,41923.0
p3,51682.75,108048.25,113250.75,214539.75,187710.5,219504.0
p3,43085.25,177735.25,51725.99999999999,313122.25,176884.0,87084.25
p4,706.25,1000.0000000000001,2612.5,5275.25,23787.75,53805.5
p4,1613.75,439.75,992.5000000000001,8034.5,14502.0,59401.5
p4,112.0,2446.75,15972.0,39829.25,40672.25,117224.75
p5,6212.0,30225.75,4401.25,2841.75,113224.0,29624.25
p5,89534.5,21811.75,114986.5,55024.0,166877.5,43571.49999999999
p5,13204.0,9144.75,52751.5,43638.0,77049.25,79866.25
p6,22290.0,50786.0,119214.25000000001,47479.25,41150.0,35120.5
p6,14723.250000000002,7113.5,19529.75,16555.75,2242.25,12274.000000000002
p6,3741.5,15421.5,5471.5,9348.75,32580.0,23615.75
p7,4323.75,4167.25,24685.25,1321.5,2861.5,735.25
p7,11477.75,3650.0,8852.5,21018.25,18110.75,8543.0
p7,289.75,2208.5,10971.25,11480.75,3593.25,44924.5
p8,16480.0,10206.000000000002,12247.0,49309.75,9465.25,3315.5
p8,29468.0,31288.25,14455.25,57476.0,49582.25,12293.25
p8,93348.25,108742.0,147624.25,51296.5,40816.25,82531.5
p9,476.50000000000006,726.75,3106.0,6742.75,8219.5,43714.0
p9,2524.0,10140.0,28766.0,71544.75,19734.25,73053.25000000001
p9,13190.0,19332.25,42988.0,22608.25,46220.25,137962.0
p10,2964.0000000000005,3192.0,15286.75,6080.000000000001,3815.5,11810.75
p10,3570.0,10449.0,17822.0,9189.25,16206.25,19614.25
p10,23722.0,26568.000000000004,36959.25,14555.75,24728.0,26954.75
