Device-ID,A1,A2,A3,A4,A5,A6
input,32.0,32.0,32.0,32.0,32.0,32.0
p1,44.0,50.0,45.0,50.0,38.0,50.0
p1,50.0,50.0,50.0,50.0,50.0,50.0
p1,50.0,50.0,50.0,50.0,50.0,50.0
p2,38.0,39.0,32.0,40.0,44.0,50.0
p2,26.0,28.0,46.0,46.0,45.0,50.0
p2,41.0,50.0,46.0,35.0,46.0,44.0
p3,15.0,14.0,50.0,23.0,30.0,40.0
p3,42.0,36.0,24.0,34.0,18.0,50.0
p3,28.0,12.0,34.0,30.0,32.0,38.0
p4,10.0,12.0,22.0,23.0,34.0,45.0
p4,7.0,18.0,10.0,21.0,36.0,37.0
p4,13.0,22.0,29.0,24.0,36.0,47.0
p5,43.0,38.0,50.0,42.0,50.0,40.0
p5,44.0,35.0,40.0,46.0,32.0,42.0
p5,48.0,34.0,34.0,41.0,38.0,45.0
p6,46.0,36.0,32.0,34.0,40.0,50.0
p6,32.0,37.0,39.0,33.0,39.0,38.0
p6,34.0,34.0,50.0,20.0,34.0,41.0
p7,26.0,28.0,13.0,18.0,40.0,36.0
p7,4.0,19.0,16.0,50.0,38.0,42.0
p7,23.0,30.0,32.0,38.0,18.0,50.0
p8,32.0,35.0,44.0,50.0,50.0,50.0
p8,50.0,50.0,50.0,37.0,37.0,34.0
p8,28.0,50.0,36.0,50.0,50.0,38.0
p9,24.0,24.0,42.0,30.0,40.0,40.0
p9,24.0,18.0,24.0,41.0,34.0,36.0
p9,28.0,40.0,29.0,34.0,30.0,40.0
p10,12.0,22.0,22.0,21.0,22.0,28.0
p10,28.0,22.0,23.0,17.0,30.0,20.0
p10,20.0,18.0,20.0,14.0,19.0,24.0
