Device-ID,A1,A2,A3,A4,A5,A6
input,32.0,32.0,32.0,32.0,32.0,32.0
p1,19.0,20.0,40.0,38.0,48.0,50.0
p1,50.0,50.0,50.0,36.0,50.0,39.0
p1,50.0,50.0,50.0,43.0,50.0,46.0
p2,14.0,14.0,18.0,10.0,20.0,24.0
p2,18.0,6.0,6.0,9.0,10.0,8.0
p2,6.0,5.0,6.0,10.0,26.0,23.0
p3,20.0,16.0,31.0,36.0,26.0,30.0
p3,34.0,38.0,37.0,44.0,50.0,38.0
p3,35.0,40.0,29.0,50.0,34.0,42.0
p4,9.0,10.0,16.0,15.0,24.0,29.0
p4,11.0,8.0,10.0,18.0,24.0,30.0
p4,4.0,12.0,22.0,29.0,27.0,36.0
p5,18.0,29.0,14.0,12.0,38.0,28.0
p5,38.0,24.0,37.0,32.0,40.0,30.0
p5,20.0,18.0,32.0,30.0,36.0,36.0
p6,32.0,34.0,41.0,34.0,34.0,36.0
p6,26.0,28.0,30.0,28.0,12.0,26.0
p6,20.0,25.0,19.0,21.0,34.0,29.0
p7,23.0,21.0,30.0,14.0,17.0,8.0
p7,22.0,18.0,24.0,25.0,27.0,22.0
p7,7.0,12.0,24.0,20.0,16.0,29.0
p8,28.0,18.0,23.0,40.0,23.0,18.0
p8,38.0,33.0,22.0,38.0,42.0,28.0
p8,49.0,44.0,50.0,38.0,41.0,43.0
p9,9.0,11.0,14.0,20.0,22.0,34.0
p9,16.0,21.0,32.0,36.0,26.0,38.0
p9,24.0,27.0,36.0,28.0,30.0,48.0
p10,18.0,17.0,25.0,20.0,16.0,20.0
p10,18.0,20.0,30.0,23.0,25.0,24.0
p10,28.0,28.0,35.0,26.0,28.0,27.0
