Device-ID,A1,A2,A3,A4,A5,A6
input,11.0,20.0,29.0,15.5,24.5,20.0
p1,22.6946107784,19.2415730337,20.974522293,16.203539823,25.0158102767,18.0516605166
p1,24.9230769231,26.0497630332,26.8251928021,20.7669902913,30.6508538899,23.0
p1,18.6927374302,18.6863905325,21.1612903226,21.5989847716,31.5912087912,21.5
p2,22.301369863,24.3569844789,19.9782608696,26.7823529412,27.4290718039,29.0
p2,16.9640718563,21.3656716418,26.0255972696,27.2737704918,28.8638497653,23.0
p2,21.6919060052,23.0,26.0526315789,24.2619647355,23.1053719008,22.6821192053
p3,19.905511811,30.397260274,32.6589595376,22.8371040724,23.1234567901,23.2277486911
p3,19.1164383562,26.5928853755,29.8684210526,21.7976653696,30.8241758242,28.1846153846
p3,15.4716981132,28.02,29.0125523013,16.8628571429,31.9096385542,22.9060052219
p4,18.9090909091,21.0357142857,25.3417721519,21.7264150943,24.7615384615,27.1819699499
p4,15.4516129032,21.9041916168,23.3139534884,24.7744680851,29.1670103093,27.4876033058
p4,20.09,18.7234042553,27.3979057592,20.118226601,27.4810126582,27.5741626794
p5,25.0230946882,21.1359223301,27.5601926164,27.0046511628,28.0207253886,23.9102902375
p5,23.6474820144,24.9971671388,23.9444444444,25.880239521,23.531147541,24.582781457
p5,24.2591876209,24.2705882353,25.7962264151,23.5147453083,20.9514563107,24.4530271399
p6,25.8125,23.3455497382,26.6018237082,21.5731707317,23.2612137203,23.0
p6,17.1843575419,18.2631578947,28.6535433071,17.7534883721,21.2239263804,20.5708955224
p6,22.0761904762,19.5529411765,24.5,19.1666666667,19.9459459459,25.6360078278
p7,29.8867924528,26.8674698795,22.5227272727,22.4888888889,27.273255814,20.3144104803
p7,28.1290322581,20.9375,29.6404494382,29.6923076923,25.1352941176,23.7158176944
p7,23.724137931,24.2989690722,23.9295774648,24.6725,27.4307692308,29.4734133791
p8,26.4530612245,31.367816092,22.0762711864,14.1,29.0794701987,22.7725947522
p8,22.9179331307,19.9458483755,36.9669565217,30.1405750799,25.4422535211,18.3614457831
p8,14.2162162162,26.9090909091,30.1721854305,23.9759036145,16.5231788079,28.4980988593
p9,15.8260869565,22.0837438424,34.7412587413,15.0519480519,31.6941176471,18.3246753247
p9,24.8586956522,21.7234042553,36.0617977528,17.097826087,34.2301886792,20.4964788732
p9,25.1086956522,25.25,27.0485436893,15.298245614,31.34,16.9338235294
p10,17.125,17.6666666667,27.5,15.978021978,25.6,20.75
p10,11.8450704225,20.4632352941,19.772972973,13.1176470588,27.6558441558,17.2666666667
p10,13.4166666667,14.56,21.0084033613,16.6,13.7831325301,15.3464566929
