Device-ID,A1,A2,A3,A4,A5,A6
input,11.0,20.0,29.0,15.5,24.5,20.0
p1,12.0714285714,12.5,17.8210526316,14.124137931,20.3092783505,22.53307393
p1,13.0952380952,16.186440678,20.48,16.101910828,22.3538461538,19.153526971
p1,13.53125,28.1176470588,25.2131147541,21.6611570248,25.935828877,20.1402877698
p2,12.7307692308,9.5,18.5,21.5,21.5,23.0
p2,14.0,21.4210526316,24.5,17.0,21.843373494,16.8363636364
p2,16.25,12.5789473684,20.54,20.0,22.6008064516,21.0454545455
p3,13.9361702128,20.1343283582,19.8744186047,12.4117647059,33.75,18.2545454545
p3,18.1617021277,29.0857142857,28.7419354839,27.4699453552,34.7289156627,33.3333333333
p3,16.4406779661,25.8904665314,26.0217391304,26.2074766355,36.3149350649,16.2292490119
p4,14.3658536585,12.5,20.046875,16.9405940594,20.7538461538,22.9493243243
p4,18.1076923077,21.8979591837,13.6739130435,16.974137931,25.6551724138,22.9705882353
p4,17.0,18.7647058824,15.5,20.5021459227,22.8215613383,24.5184275184
p5,16.347826087,22.7971014493,24.8842975207,21.4838709677,26.4340101523,20.0724637681
p5,19.9309210526,21.3869346734,24.8732057416,21.6532846715,26.4016736402,20.9956896552
p5,20.1125,28.1836734694,22.527972028,22.5454545455,23.8066465257,23.0996978852
p6,14.1739130435,15.4536082474,20.3560830861,22.0343347639,23.7118644068,23.0612244898
p6,16.8571428571,16.9673913043,24.6820809249,21.5828220859,20.3707865169,16.2153846154
p6,17.6195652174,18.1666666667,22.4705882353,22.0666666667,22.0,26.236453202
p7,15.7142857143,14.0,21.7225806452,19.2272727273,20.7894736842,23.9344262295
p7,19.0583941606,18.4516129032,22.8404255319,20.2024539877,17.024,17.4038461538
p7,24.5306122449,25.3152173913,32.7894736842,31.0115606936,32.6363636364,27.1641791045
p8,13.7272727273,17.0,25.0892857143,17.327014218,18.2385321101,22.6911764706
p8,16.9423076923,24.7065868263,31.4797687861,15.02,29.1006711409,14.4848484848
p8,20.7305699482,25.1883561644,35.8122743682,20.5940594059,22.7677419355,25.3472222222
p9,18.3695652174,26.0526315789,29.8936170213,20.4951456311,31.2767857143,17.0722891566
p9,28.0526315789,26.525,35.1898734177,22.4819277108,33.9872611465,18.3587443946
p9,36.2985074627,38.9735099338,39.7844827586,19.5251798561,32.3333333333,18.4671532847
p10,16.625,19.9583333333,29.8267716535,14.0,24.2804878049,26.6293706294
p10,17.0909090909,21.5,26.0,12.9764705882,21.0827067669,18.6628571429
p10,17.1948051948,18.6071428571,25.7647058824,19.0707964602,23.6768292683,19.1329479769
