Start,,,,,,,,,,,,,,
0.07,0.075,0.08,0.09,0.09,,,,,,,,,,
0.105,0.095,0.105,0.105,,,,,,,,,,,
0.045,0.05,0.05,0.055,0.12,0.155,0.16,,,,,,,,
0.135,0.15,0.15,0.145,0.15,0.145,0.145,,,,,,,,
0.16,0.19,0.21,0.235,0.225,0.22,0.23,0.245,0.245,,,,,,
0.27,0.27,0.265,0.26,0.275,0.29,0.275,0.265,0.26,0.27,0.26,,,,
0.04,0.045,0.045,0.075,0.06,0.075,0.1,,,,,,,,
0.07,0.075,0.105,0.07,0.09,0.1,0.11,0.115,0.105,,,,,,
0.155,0.165,0.18,0.2,0.21,0.22,0.195,0.19,0.2,0.21,0.225,0.225,,,
0.205,0.215,0.2,0.215,0.2,0.205,0.21,0.215,0.23,0.22,,,,,
0.325,0.32,0.335,0.3,0.305,0.29,0.335,0.345,0.34,0.34,0.33,0.345,,,
0.445,0.44,0.44,0.44,0.45,0.445,0.42,0.41,0.445,0.42,0.415,0.41,0.405,0.425,
0.045,0.1,0.09,0.095,0.1,0.11,0.11,,,,,,,,
0.04,0.04,0.04,0.04,0.06,0.055,0.06,0.07,0.075,,,,,,
0.105,0.1,0.09,0.09,0.08,,,,,,,,,,
0.15,0.175,0.17,0.17,0.17,0.155,0.16,,,,,,,,
0.115,0.11,0.11,0.13,0.13,0.12,0.125,0.215,0.22,0.225,0.235,,,,
0.295,0.285,0.26,0.275,0.27,0.27,0.28,0.28,0.28,0.28,0.28,,,,
0.05,0.07,0.035,0.04,0.05,0.06,,,,,,,,,
0.165,0.155,0.155,0.155,0.165,0.165,0.17,0.18,0.185,0.175,,,,,
0.045,0.075,0.08,0.105,0.095,0.09,0.07,0.06,0.085,0.075,0.075,,,,
0.185,0.195,0.185,0.175,0.195,0.21,0.195,0.21,0.19,0.195,0.195,0.195,,,
0.325,0.35,0.335,0.33,0.295,0.285,0.32,0.315,0.31,0.32,0.305,0.32,0.32,0.355,0.355
0.345,0.355,0.335,0.36,0.33,0.365,0.355,0.345,0.345,0.325,0.325,0.34,0.37,0.36,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,
0.105,0.095,0.1,0.115,0.095,0.11,0.105,0.125,,,,,,,
0.22,0.225,0.22,0.22,0.22,0.225,,,,,,,,,
0.225,0.24,0.235,0.255,0.275,0.26,0.275,0.29,0.255,,,,,,
0.225,0.255,0.27,0.255,0.26,0.245,0.23,0.23,0.235,0.24,0.24,,,,
0.33,0.34,0.345,0.335,0.335,0.34,0.34,0.34,0.34,0.365,0.33,0.33,,,
0.11,0.11,0.11,0.11,0.115,0.1,0.1,0.13,0.11,,,,,,
0.225,0.22,0.22,0.185,0.13,0.085,0.075,0.075,0.06,0.045,0.055,0.04,,,
0.27,0.285,0.275,0.29,0.27,0.265,0.285,0.28,0.26,0.27,0.24,0.29,0.275,0.27,
0.215,0.245,0.215,0.215,0.215,0.205,0.23,0.235,0.245,,,,,,
0.34,0.325,0.33,0.33,0.36,0.36,0.355,0.335,0.32,0.335,0.335,0.33,0.33,0.345,
0.47,0.425,0.445,0.45,0.44,0.455,0.44,0.43,0.45,0.455,0.46,0.45,0.435,0.465,
