Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,C1,C2,C3,C4,C5,C6
input,224.0,448.0,672.0,896.0,224.0,448.0,672.0,224.0,448.0,224.0,128.0,384.0,640.0,320.0,320.0,512.0,512.0,640.0,640.0
p1,280.0,456.0,212.0,976.0,200.0,496.0,232.0,108.0,336.0,168.0,152.0,288.0,292.0,312.0,280.0,204.0,364.0,300.0,352.0
p1,248.0,288.0,224.0,340.0,200.0,360.0,348.0,196.0,240.0,316.0,188.0,240.0,220.0,272.0,304.0,300.0,212.0,348.0,320.0
p2,68.0,340.0,464.0,928.0,524.0,504.0,672.0,400.0,864.0,1296.0,704.0,1224.0,1040.0,1540.0,892.0,756.0,768.0,348.0,936.0
p2,672.0,784.0,768.0,864.0,856.0,1360.0,1080.0,768.0,1080.0,832.0,1224.0,608.0,1236.0,736.0,832.0,832.0,648.0,768.0,864.0
p3,164.0,232.0,200.0,268.0,152.0,264.0,404.0,104.0,284.0,248.0,148.0,276.0,484.0,352.0,284.0,332.0,544.0,412.0,280.0
p3,136.0,260.0,340.0,592.0,280.0,216.0,676.0,392.0,448.0,432.0,392.0,492.0,436.0,460.0,668.0,604.0,436.0,416.0,392.0
p4,252.0,176.0,340.0,240.0,180.0,336.0,260.0,200.0,268.0,272.0,348.0,344.0,268.0,312.0,280.0,304.0,352.0,304.0,396.0
p4,208.0,280.0,228.0,296.0,280.0,292.0,476.0,628.0,540.0,420.0,352.0,304.0,476.0,384.0,464.0,328.0,376.0,500.0,316.0
p5,248.0,152.0,80.0,112.0,16.0,48.0,112.0,32.0,96.0,120.0,60.0,60.0,132.0,112.0,64.0,88.0,152.0,124.0,168.0
p5,80.0,136.0,88.0,120.0,136.0,112.0,148.0,104.0,108.0,116.0,140.0,108.0,100.0,120.0,140.0,80.0,140.0,80.0,132.0
p6,144.0,192.0,220.0,384.0,236.0,268.0,396.0,136.0,196.0,168.0,436.0,296.0,360.0,212.0,212.0,436.0,408.0,244.0,132.0
p6,232.0,204.0,324.0,440.0,80.0,300.0,340.0,248.0,252.0,240.0,240.0,280.0,192.0,220.0,144.0,212.0,192.0,388.0,360.0
p7,104.0,192.0,128.0,232.0,144.0,120.0,168.0,104.0,152.0,116.0,136.0,148.0,124.0,152.0,128.0,140.0,240.0,148.0,124.0
p7,144.0,136.0,152.0,188.0,164.0,196.0,184.0,212.0,188.0,168.0,188.0,184.0,196.0,188.0,128.0,188.0,184.0,188.0,176.0
p8,100.0,120.0,272.0,228.0,300.0,244.0,324.0,276.0,312.0,224.0,196.0,412.0,224.0,364.0,196.0,392.0,416.0,464.0,372.0
p8,280.0,220.0,240.0,272.0,248.0,448.0,224.0,252.0,336.0,296.0,320.0,264.0,256.0,272.0,336.0,224.0,288.0,304.0,304.0
p9,196.0,168.0,196.0,324.0,152.0,216.0,472.0,80.0,116.0,140.0,420.0,144.0,344.0,96.0,64.0,292.0,264.0,416.0,212.0
p9,80.0,92.0,264.0,372.0,164.0,108.0,440.0,76.0,244.0,96.0,100.0,280.0,360.0,192.0,160.0,316.0,228.0,240.0,220.0
p10,160.0,132.0,240.0,296.0,176.0,180.0,240.0,240.0,280.0,224.0,240.0,336.0,336.0,216.0,216.0,292.0,368.0,416.0,356.0
p10,280.0,416.0,328.0,436.0,328.0,308.0,384.0,364.0,332.0,240.0,324.0,416.0,504.0,456.0,480.0,528.0,524.0,616.0,500.0
