Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,C1,C2,C3,C4,C5,C6
input,33450.66666666667,124245.33333333333,301056.0,592554.6666666667,90794.66666666666,267605.3333333334,559104.0,176810.6666666667,468309.3333333334,291498.6666666667,84650.66666666666,253952.0,423253.3333333334,334506.6666666667,236202.6666666667,420522.6666666667,354986.6666666667,521557.3333333334,406869.3333333334
p1,120789.33333333333,141440.0,35562.66666666667,345429.3333333334,20266.666666666668,162901.33333333334,31573.333333333336,10944.000000000002,90368.0,23936.0,48682.66666666667,72448.0,50069.333333333336,52864.0,41813.33333333333,78144.0,104469.33333333333,55744.0,90965.33333333331
p1,49066.66666666667,124159.99999999997,61866.666666666664,71829.33333333333,26410.666666666668,68480.0,155328.0,27541.333333333332,44032.0,103445.33333333333,63722.666666666664,151296.00000000003,98069.33333333334,154538.66666666666,159317.33333333334,101696.0,55658.66666666667,65984.0,52138.66666666666
p2,19690.666666666664,212501.3333333333,128682.66666666666,613717.3333333333,186218.6666666667,225792.0,369152.0,110933.33333333334,677376.0,1016064.0,445994.6666666667,959616.0,962730.6666666667,1634453.3333333335,691093.3333333333,592704.0,507904.0,85695.99999999999,733824.0
p2,369152.0,430677.3333333334,507904.0,571392.0,306389.3333333334,1058389.3333333335,846720.0,507904.0,990720.0,550229.3333333333,959616.0,402090.66666666674,1162176.0,486741.3333333334,550229.3333333333,550229.3333333333,347264.0,507904.0,571392.0
p3,32746.66666666667,143829.33333333334,38058.66666666667,94101.33333333334,52010.66666666667,55296.0,211946.6666666667,26666.666666666668,99818.66666666667,80042.66666666669,28181.333333333336,61632.0,333333.3333333333,140245.33333333334,77802.66666666667,150122.6666666667,353493.3333333333,171413.33333333334,109909.33333333334
p3,32725.333333333336,92906.66666666669,157333.33333333334,411349.3333333333,62933.33333333333,41856.0,357013.3333333334,97962.66666666669,167253.3333333333,204032.0,371498.6666666667,176320.0,269333.3333333333,160149.33333333334,465514.6666666667,250005.33333333334,185109.33333333337,253354.6666666667,232234.6666666667
p4,56768.00000000001,51882.66666666666,93589.33333333334,63232.0,47168.0,96512.0,66282.66666666667,34090.66666666667,86037.33333333333,84906.66666666667,98752.0,88362.66666666666,80277.33333333333,90752.0,73301.33333333333,94933.33333333334,133077.33333333334,102229.33333333333,137920.0
p4,41557.333333333336,82645.33333333334,66752.0,90922.66666666667,81877.33333333333,88597.33333333334,182762.66666666666,310933.3333333334,223296.00000000003,128576.0,127829.33333333333,180181.33333333334,200554.6666666667,132736.0,141738.66666666666,98389.33333333333,104661.33333333333,226154.6666666667,141973.3333333333
p5,87978.66666666666,22314.666666666668,13226.666666666668,16725.333333333336,1621.3333333333335,4864.000000000001,16725.333333333336,4778.666666666666,14336.0,22144.0,8000.0,12864.0,28736.0,11349.333333333332,17749.333333333332,14037.333333333334,22698.666666666664,15253.333333333336,25088.0
p5,20394.666666666668,18901.333333333336,20181.333333333332,13696.0,21461.333333333336,18261.333333333332,18069.333333333332,10538.666666666668,14784.0,25834.666666666664,20586.666666666668,10944.000000000002,35221.333333333336,17280.0,21866.666666666668,25514.666666666664,23786.666666666668,19370.666666666668,13375.999999999998
p6,29952.0,37376.0,41877.33333333333,119680.0,69482.66666666667,81301.33333333334,163136.0,66517.33333333333,45205.333333333336,52352.00000000001,231957.33333333334,96554.66666666667,128640.0,139498.6666666667,141546.66666666666,263829.3333333333,183295.99999999997,90261.33333333334,50752.00000000001
