Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,C1,C2,C3,C4,C5,C6
input,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,4.0,12.0,20.0,28.0,28.0,28.0,28.0,28.0,28.0
p1,18.0,36.0,38.0,50.0,50.0,36.0,45.0,27.0,24.0,24.0,18.0,34.0,41.0,44.0,35.0,31.0,34.0,33.0,34.0
p1,37.0,30.0,32.0,35.0,34.0,40.0,38.0,37.0,39.0,30.0,31.0,28.0,16.0,40.0,24.0,29.0,32.0,42.0,38.0
p2,5.0,25.0,29.0,29.0,27.0,21.0,24.0,25.0,24.0,36.0,39.0,34.0,43.0,35.0,26.0,21.0,24.0,31.0,26.0
p2,24.0,28.0,24.0,27.0,45.0,38.0,30.0,24.0,27.0,26.0,34.0,19.0,34.0,23.0,26.0,26.0,24.0,24.0,27.0
p3,15.0,18.0,21.0,14.0,22.0,23.0,18.0,10.0,24.0,21.0,23.0,24.0,30.0,26.0,21.0,14.0,26.0,25.0,18.0
p3,16.0,13.0,19.0,31.0,30.0,26.0,31.0,30.0,28.0,24.0,18.0,26.0,18.0,27.0,28.0,30.0,27.0,20.0,18.0
p4,27.0,16.0,22.0,16.0,13.0,24.0,18.0,26.0,22.0,24.0,28.0,31.0,22.0,21.0,19.0,25.0,18.0,18.0,21.0
p4,20.0,22.0,18.0,24.0,19.0,22.0,28.0,30.0,32.0,33.0,21.0,18.0,21.0,26.0,33.0,29.0,32.0,28.0,19.0
p5,18.0,20.0,12.0,14.0,4.0,12.0,14.0,4.0,12.0,12.0,10.0,6.0,16.0,28.0,4.0,14.0,19.0,24.0,21.0
p5,12.0,26.0,10.0,26.0,22.0,18.0,29.0,26.0,21.0,14.0,25.0,27.0,13.0,22.0,23.0,8.0,18.0,8.0,33.0
p6,12.0,20.0,24.0,25.0,19.0,25.0,25.0,18.0,22.0,18.0,21.0,22.0,18.0,24.0,25.0,19.0,26.0,23.0,21.0
p6,28.0,20.0,27.0,22.0,4.0,21.0,21.0,25.0,23.0,21.0,24.0,25.0,18.0,20.0,14.0,23.0,18.0,26.0,16.0
p7,18.0,16.0,12.0,16.0,11.0,14.0,12.0,18.0,21.0,10.0,16.0,14.0,12.0,18.0,23.0,23.0,19.0,17.0,9.0
p7,24.0,12.0,20.0,12.0,21.0,21.0,16.0,19.0,24.0,14.0,13.0,30.0,19.0,17.0,14.0,20.0,22.0,18.0,14.0
p8,25.0,14.0,19.0,17.0,13.0,11.0,19.0,20.0,16.0,10.0,12.0,15.0,10.0,13.0,13.0,18.0,13.0,26.0,17.0
p8,13.0,12.0,12.0,16.0,21.0,16.0,12.0,22.0,12.0,18.0,15.0,14.0,14.0,25.0,12.0,14.0,16.0,18.0,24.0
p9,20.0,18.0,11.0,24.0,11.0,10.0,34.0,12.0,14.0,14.0,20.0,10.0,29.0,8.0,4.0,24.0,22.0,25.0,14.0
p9,20.0,12.0,23.0,27.0,17.0,12.0,31.0,9.0,16.0,10.0,25.0,18.0,23.0,14.0,12.0,22.0,17.0,14.0,16.0
p10,8.0,9.0,10.0,13.0,11.0,9.0,12.0,12.0,14.0,10.0,10.0,12.0,14.0,9.0,12.0,15.0,18.0,20.0,17.0
p10,17.0,21.0,14.0,20.0,16.0,20.0,16.0,20.0,18.0,12.0,18.0,20.0,21.0,26.0,28.0,25.0,20.0,25.0,26.0
