Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,C1,C2,C3,C4,C5,C6
input,12.0,16.0,20.0,24.0,20.0,24.0,28.0,28.0,32.0,36.0,24.0,24.0,24.0,31.2,26.4,27.0,25.0,27.2,24.0
p1,20.0571428571,17.0175438596,12.2641509434,17.9016393443,10.0,17.0967741935,11.3103448276,10.0,15.7142857143,11.7142857143,16.3157894737,14.7777777778,12.6301369863,12.5641025641,12.0,18.9411764706,16.1538461538,13.2,15.5454545455
p1,13.1612903226,20.2222222222,16.1428571429,13.9529411765,11.28,13.3333333333,19.9310344828,11.4693877551,12.8,17.4936708861,18.0,23.6,20.5454545455,22.9411764706,22.2105263158,17.36,14.679245283,13.3103448276,12.45
p2,16.3529411765,24.4,16.0,24.0,17.9389312977,20.0,22.0,16.0,26.0,26.0,23.7272727273,26.0,28.5076923077,30.0,25.802690583,26.0,24.0,14.9195402299,26.0
p2,22.0,22.0,24.0,24.0,18.0186915888,25.9058823529,26.0,24.0,28.0,24.0,26.0,24.0,28.4207119741,24.0,24.0,24.0,21.7037037037,24.0,24.0
p3,13.7073170732,24.0689655172,13.28,17.8208955224,18.0,14.0606060606,21.3267326733,15.2307692308,18.1690140845,17.4193548387,13.027027027,14.347826087,25.3719008264,19.0454545455,15.9718309859,20.1204819277,24.4117647059,18.932038835,18.9714285714
p3,15.1764705882,18.0,20.5882352941,25.1621621622,14.5714285714,13.2592592593,21.4319526627,15.1428571429,18.0,20.5555555556,28.612244898,18.0325203252,22.8073394495,17.6869565217,24.0838323353,19.1125827815,19.0642201835,23.0,22.8571428571
p4,14.1904761905,16.7272727273,15.9294117647,15.6,15.5111111111,16.2857142857,15.3538461538,12.64,17.1641791045,17.0588235294,16.2068965517,15.4418604651,16.2686567164,16.4615384615,15.5428571429,17.1052631579,18.3636363636,17.3684210526,17.7575757576
p4,13.6923076923,16.5142857143,16.3859649123,16.9189189189,16.5142857143,16.4657534247,18.3025210084,20.9044585987,19.4518518519,16.8952380952,17.8636363636,22.6842105263,19.4117647059,17.3333333333,16.4482758621,16.487804878,15.914893617,20.272,20.2784810127
p5,17.4838709677,11.8947368421,12.4,12.0,10.0,10.0,12.0,12.0,12.0,13.2,11.3333333333,14.2666666667,14.0,10.0,16.0,12.1818181818,12.0,10.9032258065,12.0
p5,15.6,11.4117647059,14.3636363636,10.5333333333,12.1176470588,12.5714285714,10.8648648649,10.0,11.3333333333,14.1379310345,11.7142857143,10.0,18.16,11.6,12.0571428571,17.2,12.6285714286,14.8,10.0
p6,14.0,13.5,13.3454545455,16.7083333333,16.4406779661,16.6865671642,19.5757575758,21.2941176471,14.4081632653,16.1904761905,21.1559633028,17.027027027,18.0,24.7924528302,24.7924528302,23.2844036697,20.2745098039,18.6557377049,19.0909090909
p6,16.2068965517,14.7843137255,17.2592592593,18.0,18.0,15.4933333333,16.5882352941,18.1290322581,15.2063492063,15.0,19.3333333333,14.2857142857,15.8333333333,24.4727272727,15.1111111111,13.6226415094,18.1666666667,23.6494845361,19.3333333333
p7,16.1538461538,14.0,18.0,16.3448275862,17.2222222222,12.6666666667,16.0952380952,16.1538461538,13.0526315789,14.1379310345,18.4705882353,15.6216216216,17.3548387097,12.7368421053,16.375,19.2571428571,17.5333333333,12.7027027027,16.9677419355
p7,11.3333333333,16.3529411765,18.8421052632,19.7872340426,13.1219512195,14.6530612245,16.2608695652,16.3396226415,18.7659574468,15.5238095238,18.8510638298,15.7391304348,14.4081632653,17.3191489362,18.25,13.4042553191,16.7826086957,21.4042553191,17.9090909091
p8,10.0,20.6666666667,23.9411764706,20.5964912281,23.0666666667,20.2295081967,25.6543209877,15.0434782609,19.3333333333,20.5714285714,18.4897959184,22.1165048544,19.8571428571,22.0,19.6326530612,20.0408163265,24.0,18.2068965517,24.0215053763
p8,20.3428571429,22.2181818182,18.0,22.6470588235,14.0,22.0,22.2857142857,13.9365079365,22.0,17.2432432432,19.4,21.8181818182,18.1875,14.2941176471,22.0,19.5,18.6666666667,21.0526315789,15.0526315789
p9,13.7551020408,15.7142857143,18.0816326531,24.3209876543,16.2105263158,21.1111111111,27.0847457627,11.6,23.7931034483,14.2285714286,29.6571428571,19.1111111111,13.9534883721,15.0,16.0,20.7397260274,20.6060606061,21.8461538462,15.9622641509
p9,10.0,11.9130434783,18.1818181818,30.1290322581,14.0,13.5555555556,28.8,13.1578947368,21.5409836066,16.6666666667,10.0,18.4571428571,25.5111111111,16.5,20.0,23.3164556962,18.4210526316,20.6,17.0545454545
p10,18.0,15.8181818182,20.0,20.2162162162,16.0,18.0,18.0,18.0,18.0,19.7142857143,20.0,22.0,20.0,20.0,18.4444444444,18.9863013699,20.7826086957,20.6153846154,19.3483146067
p10,19.0857142857,21.1153846154,20.1463414634,20.128440367,19.2682926829,19.2987012987,20.0,18.6153846154,18.8192771084,18.0,18.5432098765,19.4615384615,20.0,18.2807017544,18.6666666667,20.5454545455,21.6641221374,21.2727272727,19.76
