Start,,,,,,,
0.04,0.145,0.16,0.18,0.14,0.04,,
0.2199999,0.205,0.3599998,0.3599998,,,,
0.3800001,0.04999999,0.04999999,0.04999999,,,,
0.5,0.5,0.485,0.485,0.485,,,
0.5,,,,,,,
0.3649998,0.2199999,0.2199999,0.2199999,0.2199999,,,
0.4450001,0.07000033,0.06000033,,,,,
0.2699999,,,,,,,
0.2449999,0.2049999,0.2049999,0.2049999,,,,
0.2449999,0.18,,,,,,
0.175,0.04,0.04,0.04,0.04,0.04,,
0.3399998,0.135,0.08000001,0.08000001,0.08000001,,,
0.4149998,0.155,0.155,,,,,
0.4399997,0.175,0.165,,,,,
0.3499998,0.3499998,,,,,,
0.04,0.04,0.3149998,0.04,0.04,0.04,,
0.1949999,0.3399998,0.18,0.09500001,0.09500001,,,
0.3349998,0.2449999,0.175,,,,,
0.165,0.3449998,0.3049999,0.04,0.04,,,
0.3749998,0.1250004,0.045,0.045,0.045,,,
0.04,0.04,0.3049999,0.205,0.1,0.04,,
0.04,0.3249998,0.06,0.135,,,,
0.3549998,0.2199999,0.2249999,0.055,,,,
0.3399998,0.16,,,,,,
0.3999998,0.2549999,0.2499999,,,,,
0.05,0.3799998,0.045,0.055,0.18,0.165,,
0.3699998,0.055,0.055,,,,,
0.3949998,0.07,0.07,0.07,,,,
0.11,0.16,0.2999999,0.155,0.065,,,
0.04,0.04,0.3149998,0.035,0.04499999,,,
0.125,0.035,0.035,0.035,0.035,0.2799999,0.045,
0.04,0.04,0.155,0.15,0.155,,,
0.04,0.04,0.045,0.3999998,0.04,0.04,0.04,0.04
0.04,0.04,0.155,0.2449999,0.2,0.04,0.04,
0.205,0.08000001,0.2899999,0.06,0.06,0.06,,
0.3199998,0.045,0.05,0.045,0.045,0.045,,
0.3299998,0.4199997,0.055,0.055,,,,
0.3849998,0.3499998,0.07,,,,,
