Device-ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,C1,C2,C3,C4,C5,C6
input,16.0,24.0,32.0,40.0,16.0,24.0,32.0,16.0,24.0,16.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
p1,32.0,24.0,24.0,28.0,12.0,28.0,20.0,12.0,24.0,16.0,32.0,28.0,20.0,20.0,16.0,32.0,28.0,20.0,28.0
p1,28.0,32.0,24.0,24.0,16.0,20.0,32.0,20.0,24.0,28.0,28.0,36.0,28.0,40.0,36.0,32.0,32.0,24.0,20.0
p3,20.0,36.0,24.0,28.0,28.0,20.0,36.0,24.0,28.0,24.0,24.0,24.0,40.0,28.0,24.0,32.0,36.0,36.0,28.0
p3,20.0,28.0,32.0,40.0,20.0,28.0,36.0,24.0,32.0,32.0,44.0,28.0,44.0,28.0,44.0,32.0,32.0,36.0,36.0
p4,28.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,28.0,24.0,24.0,24.0,28.0,24.0,24.0,24.0,32.0,28.0,28.0
p4,20.0,24.0,24.0,24.0,24.0,28.0,36.0,36.0,32.0,24.0,32.0,44.0,32.0,32.0,32.0,28.0,28.0,32.0,36.0
p5,32.0,16.0,20.0,16.0,12.0,12.0,16.0,16.0,16.0,20.0,16.0,20.0,24.0,12.0,24.0,20.0,16.0,16.0,16.0
p5,20.0,20.0,24.0,16.0,20.0,16.0,16.0,12.0,20.0,24.0,20.0,12.0,24.0,20.0,20.0,24.0,20.0,24.0,12.0
p6,20.0,20.0,20.0,28.0,24.0,24.0,28.0,28.0,24.0,32.0,40.0,28.0,28.0,32.0,40.0,36.0,32.0,28.0,24.0
p6,32.0,28.0,36.0,28.0,28.0,28.0,28.0,36.0,32.0,28.0,28.0,24.0,32.0,32.0,28.0,20.0,32.0,36.0,32.0
p7,20.0,20.0,24.0,24.0,24.0,20.0,24.0,20.0,20.0,20.0,24.0,24.0,24.0,20.0,20.0,24.0,24.0,20.0,24.0
p7,16.0,24.0,24.0,28.0,24.0,28.0,32.0,24.0,28.0,28.0,32.0,28.0,28.0,32.0,24.0,24.0,24.0,28.0,28.0
p8,12.0,28.0,32.0,28.0,36.0,32.0,36.0,24.0,32.0,32.0,28.0,36.0,32.0,36.0,28.0,36.0,40.0,32.0,36.0
p8,32.0,32.0,28.0,32.0,20.0,36.0,32.0,20.0,36.0,28.0,32.0,32.0,28.0,24.0,36.0,28.0,28.0,32.0,24.0
p9,24.0,24.0,28.0,32.0,24.0,32.0,36.0,16.0,32.0,24.0,44.0,32.0,20.0,24.0,24.0,28.0,32.0,32.0,24.0
p9,12.0,16.0,28.0,40.0,20.0,20.0,40.0,20.0,32.0,24.0,12.0,28.0,36.0,28.0,28.0,32.0,28.0,32.0,28.0
p10,28.0,24.0,32.0,32.0,24.0,28.0,28.0,28.0,28.0,32.0,32.0,36.0,32.0,32.0,28.0,32.0,32.0,32.0,32.0
p10,28.0,32.0,32.0,32.0,32.0,28.0,32.0,28.0,32.0,28.0,28.0,32.0,32.0,32.0,28.0,32.0,36.0,36.0,36.0
