ID,p1,p2,p3,height,width,Gy
1,0,0,0,2.7625,1.35,1.3229
2,45,45,45,2.2625,1.875,1.2928
3,90,90,90,2.4,2.8875,1.24305
4,135,135,135,2.6625,2.45,1.36935
5,180,180,180,2.4125,3.2,1.29585
6,90,0,0,3.1,1.0625,1.7903
7,90,45,0,2.7,1.9875,1.37105
8,90,90,0,2.4625,1.925,1.39
9,135,45,45,2.0625,1.525,1.10655
10,135,90,45,2.8,2.3125,1.6231
11,135,135,45,2.45,2.8875,1.3478
12,180,90,90,2.6375,1.5875,1.6476
13,180,135,90,2.4,2.3,1.20595
14,180,180,90,2.675,2.85,1.4624
15,180,90,0,2.4375,2.1375,1.18225
1,0,0,0,1.55,1.4375,0.7937
2,45,45,45,1.425,1.8375,0.93245
3,90,90,90,2.7875,2.45,1.593
4,135,135,135,2.9,1.4875,1.656825
5,180,180,180,3.2125,3.225,1.73915
6,90,0,0,2.2875,1.1125,1.42465
7,90,45,0,2.56875,1.26875,1.589525
8,90,90,0,2.325,1.8125,1.1574
9,135,45,45,2.65,1.775,1.6504
10,135,90,45,1.8625,2.175,0.8929
11,135,135,45,1.775,2.5625,1.13075
12,180,90,90,3.15,1.2,1.90155
13,180,135,90,2.7,1.85,1.7298
14,180,180,90,3.15,2.13125,1.5238
15,180,90,0,2.2375,2.3875,1.1277
1,0,0,0,2.6625,3.05,1.0619
2,45,45,45,2.8875,2.95,1.4965
3,90,90,90,2.9625,3.15,1.4359
4,135,135,135,2.7125,2.775,1.32245
5,180,180,180,2.275,3.225,1.30475
6,90,0,0,2.5875,2.675,1.55945
7,90,45,0,3.2125,2.9,1.6205
8,90,90,0,3,2.7875,1.3901
9,135,45,45,3.2,2.7375,1.3427
10,135,90,45,2.6,2.975,1.44085
11,135,135,45,2.975,2.8125,1.42255
12,180,90,90,2.875,3.2875,1.4083
13,180,135,90,2.925,2.85,1.51935
14,180,180,90,2.8375,2.85,1.62135
15,180,90,0,2.9,2.825,1.33395
1,0,0,0,2.525,1.95,1.1077
2,45,45,45,1.4125,4.3125,0.6912
3,90,90,90,2.2125,3.1625,1.10685
4,135,135,135,2,4.5875,1.112
5,180,180,180,2.775,2.8375,1.5518
6,90,0,0,1.5875,3.475,0.87365
7,90,45,0,1.175,4.1,0.91785
8,90,90,0,1.375,4.3125,0.76355
9,135,45,45,1.7375,4.425,0.9297
10,135,90,45,2.1125,4.1875,1.1128
11,135,135,45,3,2.225,1.49865
12,180,90,90,2.5625,3.375,1.3094
13,180,135,90,2.675,2.3875,1.3453
14,180,180,90,2.75,2.55,1.66845
15,180,90,0,2.9625,3.1,1.6159
1,0,0,0,1.1125,2.4125,0.63585
2,45,45,45,2.25,2.1125,1.2968
3,90,90,90,2.1125,2.2375,1.0245
4,135,135,135,1.3125,2.575,0.90115
5,180,180,180,2.4125,1.6875,1.1179
6,90,0,0,1.625,1.475,0.81775
7,90,45,0,1.6375,1.425,0.97015
8,90,90,0,2.1,2.3875,1.0379
9,135,45,45,2.4,2.5625,1.05085
10,135,90,45,1.9,2.0125,0.86965
11,135,135,45,2.0375,2.0625,0.97775
12,180,90,90,2.2875,2.0125,1.1882
13,180,135,90,2.65,2.625,1.30635
14,180,180,90,2.5125,2.5875,1.45645
15,180,90,0,1.5375,1.475,0.7376
1,0,0,0,1.9625,2.6,0.9878
2,45,45,45,1.9125,2.2,0.95315
3,90,90,90,3.5,2.1625,1.69215
4,135,135,135,2.9125,2.8625,1.41795
5,180,180,180,3.2375,3.1625,1.6425
6,90,0,0,2.3,1.4125,1.1382
7,90,45,0,2.6375,2.65,1.2953
8,90,90,0,2.1875,2.3875,1.18175
9,135,45,45,2.375,1.575,1.4193
10,135,90,45,2.9125,1.9875,1.4288
11,135,135,45,2.4875,2.7375,1.23095
12,180,90,90,2.875,2.7,1.47875
13,180,135,90,2.1625,2.225,1.14715
14,180,180,90,3.7,3.6125,1.79725
15,180,90,0,2.525,2.85,1.2127
1,0,0,0,1.6,3.8375,0.9699
2,45,45,45,1.275,5.1625,0.7976
3,90,90,90,3.0375,4.3375,1.68185
4,135,135,135,5.8875,1.725,4.2768
5,180,180,180,4.775,2.775,2.45405
6,90,0,0,2.6125,5.45,1.4161
7,90,45,0,3.9125,3.3125,2.06695
8,90,90,0,2.4375,4.975,1.91685
9,135,45,45,3.7,5.8375,2.1528
10,135,90,45,3.925,2.3875,2.0814
11,135,135,45,4.175,3.5,3.06105
12,180,90,90,4.9875,2.8625,3.1452
13,180,135,90,7.6,4.45,3.1959
14,180,180,90,6.9125,4.0125,3.75315
15,180,90,0,5.4875,4.175,3.87585
