,p1,p2,p3,hd,wd,hu,wu
4,135,135,135,110.0002,557.4996,122.5002,50
3,90,90,90,130.0002,502.5001,57.50024,212.5004
7,90,45,0,150.0002,480.0002,70.00023,67.50053
10,135,90,45,97.50021,182.5004,132.5002,340.0003
1,0,0,0,85.00021,420.0002,37.50023,240.0004
15,180,90,0,70.00023,50.00053,185.0001,310.0003
2,45,45,45,140.0002,25,77.49999,522.5001
6,90,0,0,102.5002,35,52.50023,500.0001
9,135,45,45,75.00023,32.50052,232.5001,302.5003
13,180,135,90,135.0002,57.50053,127.5002,247.5004
12,180,90,90,152.5002,57.50053,159.9999,415.0002
8,90,90,0,132.5002,477.5002,230.0001,35.00052
