,p1,p2,p3,hd,wd,hu,wu
4,135,135,135,117.5,117.5,67.5,112.5
3,90,90,90,84.99998,177.4999,50,217.4999
9,135,45,45,62.50001,177.4999,50,150
8,90,90,0,142.4999,60.00004,50,47.50003
13,180,135,90,97.49998,125,82.49998,87.50002
6,90,0,0,182.4999,85.00002,50,100
7,90,45,0,137.4999,192.4999,50,189.9999
14,180,180,90,147.4999,222.4999,50,222.4999
1,0,0,0,77.49999,192.4999,112.5,77.50003
2,45,45,45,82.49998,239.9999,12.5,100
15,180,90,0,124.9999,229.9999,50,100
12,180,90,90,212.4999,157.5,50,157.5
5,180,180,180,127.5,337.4998,50,337.4998
10,135,90,45,167.4999,70.00003,50,70.00003
11,135,135,45,137.4999,187.4999,50,152.5
