,p1,p2,p3,hd,wd,hu,wu
3,90,90,90,197.5001,387.5002,175.0001,77.50052
13,180,135,90,212.5001,517.5001,245.0001,520.0001
1,0,0,0,137.5002,167.5004,235.0001,70.00053
10,135,90,45,192.5001,440.0002,185.0001,440.0002
9,135,45,45,112.5002,255.0004,300,540.0001
7,90,45,0,220.0001,467.5002,72.50023,125.0005
11,135,135,45,257.5001,207.5004,120.0002,212.5004
6,90,0,0,210.0001,392.5002,127.5002,70.00053
15,180,90,0,222.5001,465.0002,250.0001,457.5002
14,180,180,90,247.5001,467.5002,52.50023,465.0002
5,180,180,180,202.5001,150.0005,212.5001,147.5005
4,135,135,135,140.0002,145.0005,217.5001,167.5004
12,180,90,90,155.0002,452.5002,300,450.0002
2,45,45,45,185.0001,55.00053,120.0002,277.5003
8,90,90,0,220.0001,387.5002,107.5002,282.5003
