,p1,p2,p3,hd,wd,hu,wu
1,0,0,0,50,150,120,100
7,90,45,0,50,100,192.4999,244.9999
5,180,180,180,50,212.4999,277.4998,244.9999
9,135,45,45,50,142.5,162.4999,232.4999
8,90,90,0,50,100,89.99998,100
12,180,90,90,50,277.4998,99.99997,140
2,45,45,45,47.5,70.00004,102.5,70.00003
11,135,135,45,15,137.5,84.99999,137.5
14,180,180,90,60.00001,117.5,105,132.5
10,135,90,45,50,85.00002,72.5,75.00002
13,180,135,90,50,262.4999,89.99998,259.9999
6,90,0,0,50,107.5,192.4999,100
15,180,90,0,132.5,239.9999,52.5,100
3,90,90,90,55,57.50003,127.5,55.00003
4,135,135,135,147.4999,100,89.99999,95.00002
