,p1,p2,p3,hd,wd,hu,wu
12,180,90,90,115.0002,240.0004,135.0002,262.5003
13,180,135,90,127.5002,125.0005,112.5002,262.5003
4,135,135,135,137.5002,340.0003,25.00022,277.5003
11,135,135,45,72.50023,130.0005,225.0001,255.0004
8,90,90,0,145.0002,332.5003,122.5002,295.0003
6,90,0,0,102.5002,117.5005,57.50024,172.5004
5,180,180,180,105.0002,202.5004,112.5002,200.0004
1,0,0,0,112.5002,290.0003,42.50023,200.0004
10,135,90,45,85.00021,277.5003,97.50021,210.0004
3,90,90,90,130.0002,147.5005,85.00021,317.5003
7,90,45,0,77.50022,135.0005,75.00023,122.5005
9,135,45,45,112.5002,364.9998,242.5001,255.0004
14,180,180,90,212.5001,405.0002,142.5002,277.5003
15,180,90,0,77.50022,107.5005,62.50024,102.5005
2,45,45,45,200.0001,285.0003,90.00021,167.5004
