,p1,p2,p3,hd,wd,hu,wu
10,135,90,45,159.9999,214.9999,137.4999,209.9999
11,135,135,45,130,152.5,122.4999,145
14,180,180,90,105,224.9999,107.5,229.9999
1,0,0,0,74.99999,67.50003,74.99999,67.50003
7,90,45,0,120,130,117.5,120
13,180,135,90,149.9999,244.9999,132.5,244.9999
6,90,0,0,120,155,117.5,162.5
9,135,45,45,154.9999,222.4999,154.9999,155
12,180,90,90,127.5,222.4999,112.5,155
5,180,180,180,172.4999,277.4998,157.4999,269.9998
2,45,45,45,79.99999,130,74.99999,135
15,180,90,0,147.4999,297.4998,139.9999,297.4998
