,p1,p2,p3,hd,wd,hu,wu
2,45,45,45,140.0002,257.5003,142.5002,255.0004
5,180,180,180,192.5001,420.0002,197.5001,422.5002
9,135,45,45,127.5002,215.0004,127.5002,192.5004
11,135,135,45,155.0002,327.5003,177.5001,325.0003
13,180,135,90,110.0002,225.0004,112.5002,227.5004
12,180,90,90,162.5001,337.5003,177.5001,340.0003
6,90,0,0,182.5001,205.0004,195.0001,207.5004
1,0,0,0,155.0002,342.5003,165.0001,342.5003
4,135,135,135,185.0001,422.5002,200.0001,422.5002
10,135,90,45,182.5001,247.5004,187.5001,190.0004
8,90,90,0,192.5001,377.5002,145.0002,175.0004
7,90,45,0,147.5002,347.5003,177.5001,352.5003
15,180,90,0,140.0002,380.0002,205.0001,235.0004
3,90,90,90,197.5001,330.0003,230.0001,332.5003
14,180,180,90,180.0001,420.0002,237.5001,415.0002
