,p1,p2,p3,hd,wd,hu,wu
5,180,180,180,180.0001,167.5004,175.0001,375.0002
1,0,0,0,47.50023,232.5004,120.0002,232.5004
4,135,135,135,60.00001,55.00053,235.0001,177.5004
10,135,90,45,112.5,55.00053,130.0002,175.0004
13,180,135,90,85.00021,82.50052,155.0002,175.0004
6,90,0,0,85.00021,127.5005,117.5002,152.5005
9,135,45,45,85.00021,170.0004,162.5001,255.0004
2,45,45,45,102.5,207.5004,85.00021,207.5004
11,135,135,45,135.0002,80.00052,120.0002,302.5003
15,180,90,0,115.0002,287.5003,87.50021,175.0004
7,90,45,0,172.4999,120.0005,122.5002,117.5005
12,180,90,90,187.5001,110.0005,127.5002,82.50052
3,90,90,90,182.5001,162.5004,107.5002,282.5003
8,90,90,0,132.5002,110.0005,130.0002,215.0004
14,180,180,90,75.00023,137.5005,300,237.5004
