,p1,p2,p3,hd,wd,hu,wu
14,180,180,90,137.5002,42.50053,215.0001,280.0003
15,180,90,0,157.5002,85.00052,170.0001,355.0002
1,0,0,0,105.0002,325.0003,185.0001,77.50052
3,90,90,90,187.5001,320.0003,132.5002,32.50052
12,180,90,90,162.5001,377.5002,117.5002,92.50051
13,180,135,90,200.0001,75.00053,180.0001,335.0003
9,135,45,45,110,47.50053,242.5001,290.0003
7,90,45,0,170.0001,305.0003,225.0001,50.00053
6,90,0,0,175.0001,280.0003,112.5002,37.50052
11,135,135,45,95.00021,87.50051,265,287.5003
2,45,45,45,175.0001,65.00053,100.0002,302.5003
5,180,180,180,152.5002,260.0003,97.50021,412.5002
10,135,90,45,135.0002,55.00053,210.0001,395.0002
8,90,90,0,175.0001,37.50052,157.5002,290.0003
4,135,135,135,137.5002,52.50053,170.0001,297.5003
