,p1,p2,p3,hd,wd,hu,wu
15,180,90,0,197.5001,430.0002,272.5,432.5002
7,90,45,0,394.9999,242.5004,300,245.0004
6,90,0,0,245.0001,605,177.5001,447.5002
13,180,135,90,397.4997,510.0001,617.4997,440.0002
9,135,45,45,170.0001,270.0003,300,600
4,135,135,135,447.4999,230.0004,212.5001,245.0004
12,180,90,90,300,247.5004,300,175.0004
5,180,180,180,300,102.5005,300,155.0004
2,45,45,45,2.5,595,62.50024,600
1,0,0,0,2.5,600,122.5002,600
14,180,180,90,225.0001,290.0003,422.4999,600
11,135,135,45,2.5,600,300,600
3,90,90,90,70,600,300,600
10,135,90,45,384.9999,255.0004,300,257.5003
8,90,90,0,182.4999,650,30.00022,477.5002
